,Operating Temperature (℃),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),Membrane Thickness (μm),EW,Current at 1.9 V
409,60.0,4.501619343,5.0,74.37742114,16.76812396,8.854454898,0.176,30.0,0.333,0.36458218,0.1,90.0,980.0,3.39128
385,120.0,2.0,5.0,85.52915767,0.0,14.47084233,0.5,30.0,0.5,4.276457883,0.8,120.0,960.7222459,0.48704
92,25.0,63.0,4.0,74.37742114,16.76812396,8.854454898,0.73255738,10.0,0.8805082,2.319046959,0.352136828,125.0,1100.0,0.03184875
83,80.0,40.0,5.0,85.52915767,0.0,14.47084233,0.67,40.0,0.67,0.2,0.5,125.0,1100.0,1.20698
91,25.0,63.0,4.0,50.0,26.30208333,8.333333333,0.72519596,10.0,0.863294513,2.062026291,0.377212257,125.0,1100.0,0.04419592
244,80.0,6.0,1.0,100.0,0.0,0.0,0.319707965,0.0,1.216631476,2.0,0.0,125.0,1100.0,0.80212
311,90.0,3.33,6.25,85.52915767,0.0,14.47084233,0.5,40.0,0.5,1.710583153,2.0,120.0,870.0,3.384
486,80.0,19.87895898,5.0,59.0,0.0,16.0,0.6,40.0,1.5,0.59,0.4,125.0,1100.0,1.96937
256,80.0,50.0,25.0,85.73,0.0,14.27,0.33,60.0,0.25,0.05,0.8,175.0,1100.0,2.044
489,80.0,34.05213489,4.0,100.0,0.0,0.0,0.3333,70.0,0.3333,0.873,0.7,50.0,1100.0,2.79173
50,80.0,50.0,4.0,85.52915767,0.0,14.47084233,0.33,40.0,0.33,1.282937365,0.5,50.0,1100.0,3.12326
365,40.0,60.0,25.0,0.0,75.66401816,24.33598184,1.176955273,0.0,0.869597036,2.269920545,0.7,125.0,1100.0,0.72466
338,80.0,5.0,5.0,75.0,0.0,17.5,0.13,45.8,0.25,1.62,0.3,50.0,1100.0,5.34559
276,60.0,50.0,25.0,85.52915767,0.0,14.47084233,0.311112088,100.0,0.146421,2.5,0.8,175.0,1100.0,1.633
287,40.0,4.0,5.0,74.37742114,16.76812396,8.854454898,0.25,30.0,0.5,1.367183177,0.5,125.0,1100.0,1.9
408,50.0,5.629181396,5.0,74.37742114,16.76812396,8.854454898,0.176,30.0,0.333,0.36458218,0.1,90.0,980.0,2.866
12,80.0,1.5,5.0,40.0,0.0,0.0,0.281176263,46.0,0.546633737,0.4,0.184,50.0,1100.0,1.37234
66,30.0,10.0,20.0,100.0,0.0,0.0,0.428571429,100.0,0.428571429,1.5,1.0,50.0,1100.0,1.07446
78,58.0,2.0,25.0,85.52915767,0.0,14.47084233,0.436633416,63.88676437,0.184765936,2.138228942,0.8,175.0,1100.0,1.47386
528,60.0,12.7087867,5.0,85.52915767,0.0,14.47084233,0.25,40.0,0.5,0.4,0.1,90.0,980.0,2.79124
303,50.0,2.0,5.0,85.52915767,0.0,14.47084233,0.5,50.0,0.5,2.0,0.3,120.0,870.0,2.295
516,80.0,22.51090936,8.0,85.52915767,0.0,14.47084233,0.052631579,20.0,0.326732579,0.846738661,0.279104095,50.0,1100.0,3.11254
404,120.0,2.0,5.214930901,85.52915767,0.0,14.47084233,0.5,30.0,0.5,4.276457883,0.8,125.0,1104.744499,0.86201
274,120.0,15.0,6.25,85.52915767,0.0,14.47084233,0.045069975,46.3,0.417307997,0.085529158,0.4,50.0,1100.0,1.899
