OT,FR,AA,IR,RU,O,ICA,PT,ICC,AL,CL,MT,EW,CD15
80,20,5,74.37742114,16.76812396,8.854454898,0,100,0,2.734366353,0.051,125,1100,0.05318
60,55.44484811,25,79.37854279,2.460646234,15.82845943,1.425,46.1,0.37,1.227587835,0.4,175,1100,0.03737
90,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,0.51088
40,20,25,100,0,0,0.26887693,100,0.187223176,1,0.3,121.633866,1100,0.026
80,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,0.35932
25,18.07778353,5,68.32740214,15.40416878,16.26842908,0.111111111,46.1,0.369863014,2.093289273,0.4,125,1100,0.0055
120,3.33,6.25,84.5,0,15.5,0.24,43.93130182,0.428571429,1.69,2,125,1100,0.418
70,4,5,44.62645268,10.06087438,5.312672939,0.176470588,40,0.388888889,0.4,0.1,50,980,0.13325
90,2,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.5,0.4,120,870,0.69208
60,2,25,85.52915767,0,14.47084233,0.361332014,62.14057076,0.240665267,2.138228942,0.8,175,1100,0.05815
40,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,0.36458218,0.1,90,1000,0.00791
60,4.501619343,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,0.16819
80,3,1,85.73,0,14.27,0.151776541,40,0.362015213,0.642975,0.2,50,1100,0.1825
80,40,3.645,34.28571429,0,15.33368323,0.394818831,40,0.253866368,0.342857143,0.5,175,1100,0.07796
80,32.01683061,4,85.52915767,0,14.47084233,0.3333,70,0.3333,0.063377106,0.7,50,1100,0.28502
80,170.4751056,37.70187597,85.52915767,0,14.47084233,5,20,2.305975152,0.085529158,0.708260779,175,1100,0.68228765
30,10,20,100,0,0,0.428571429,100,0.428571429,1,1,88,1100,0.01
70,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,0.36458218,0.1,90,1000,0.15118
70,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,125,1100,0.312
100,75,50,100,0,0,0,100,0,0.25,0.25,50,825,0.01279
80,40,3.645,68.57142857,0,15.12820511,1.394017747,40,1.599086947,0.685714286,0.5,175,1100,0.12847
70,2,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.5,0.4,120,870,0.35564
80,2,5,85.52915767,0,14.47084233,0.5,50,0.5,2,0.3,125,1100,0.313
80,40,5,85.52915767,0,14.47084233,0.67,40,0.67,1.2,0.5,125,1100,0.17305
60,270,51.83117186,85.52915767,0,14.47084233,1.882657881,61.06389396,1.808704345,0.256587473,0.5,175,1100,0.07948
30,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,0.02252
100,75,50,100,0,0,0,100,0,0.25,0.25,50,825,0.14549
90,37.15090098,4,51.42857143,0,24.59807287,0.176470588,100,0.176470588,0.462857143,0.5,175,1100,0.04725
80,3,1,38.48805,0,17.7521,0.146996111,40,0.317235791,0.288660375,0.2,50,1100,0.39551
80,40,1,85.52915767,0,14.47084233,0.25,60,2,1.5,0.5,50,1100,0.1473
60,270,46.72177337,85.52915767,0,14.47084233,1.760277361,66.92663957,1.478754654,0.256587473,0.5,175,1100,0.08207
80,1,5,74.37742114,16.76812396,8.854454898,0.176470588,40,0.388888889,0.4,0.1,90,980,0.13611
90,130.8010375,8,85.52915767,0,14.47084233,0.052631579,40,26.04166667,1.710583153,0.96,125,1100,0.09239
80,4.819154086,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,0.49458
50,5.629181396,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,0.09068
80,33,25,85.52915767,0,14.47084233,0.346040407,100,0.270084939,1.702030238,1.19,175,1100,0.31197
80,5.411068459,4,100,0,0,0.15,20,0.5,5,0.3,125,1100,0.28734
30,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,125,1100,0.064
80,5.515116088,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,0.55831
130,37.68568939,4,85.52915767,0,14.47084233,0.176470588,100,0.176470588,0.769762419,0.5,175,1100,0.12867
90,14.02002948,2.64287184,100,0,0,0.333017398,30,0.579518935,2.4,0.6,124.1586196,1100,0.001
80,3,1,38.48805,0,17.7521,0.142857143,40,0.333,0.288660375,0.2,50,1100,0.05104351
80,50,25,85.73,0,14.27,0.33,60,0.25,0.013,0.8,175,1100,0.16
80,300,25,85.52915767,0,14.47084233,0.1,47,0.2385,0.1,0.1,175,1100,0.20261
60,270,45.3593416,85.52915767,0,14.47084233,2.253014729,57.95189289,1.693547103,0.256587473,0.5,175,1100,0.06349
80,37.56499288,4,0,61.27392967,24.63458319,0.33,40,0.33,2.081839933,0.625464892,125,1100,0.27216
80,50,4,85.52915767,0,14.47084233,0.33,40,0.33,3.421166307,0.5,50,1100,0.50628
80,3,1,64.11,0,16.02,0.20596053,40,0.340993866,0.6411,0.2,50,1100,0.15587
30,10,20,100,0,0,0.667,100,0.428571429,1.5,1,88,1100,0.005
30,10,20,20,0,0,0.428571429,100,0.428571429,0.3,1,88,1100,0.06529
60,40,4.5,85.52915767,0,14.47084233,3,1.4,10,2,0.025,50,1100,0.12108
80,3,1,38.48805,0,17.7521,0.160804695,40,0.317185376,0.288660375,0.2,50,1100,0.34155
80,75,50,100,0,0,0,100,0,0.5,0.25,125,1100,0.0833
80,46.54984771,4,0,75.66401816,24.33598184,0.33,40,0.33,1.930846742,0.549794743,125,1100,0.43611
58,2,25,85.52915767,0,14.47084233,0.436633416,63.88676437,0.184765936,2.138228942,0.8,175,1100,0.08584
80,219.4653072,82.68568154,94.5,0,0,1.298759141,100,3.166666667,0.1,0.703173093,158.3697046,1100,0.08364
40,60,25,0,60.3,23.9,0.649367093,30,0.360181846,3,0.7,125,1100,0.0073
80,40,3.645,0,75.66401816,24.33598184,0.419722608,40,0.450187228,1.891600454,0.5,175,1100,0.21552
60,50,25,85.52915767,0,14.47084233,0.311112088,100,0.146421,2.5,0.8,175,1100,0.068
25,1,15.84755052,100,0,0,0.455737797,100,0.409580409,2.2,0.8,175,1100,0.05085
80,4,5,44.62645268,10.06087438,5.312672939,0.176470588,40,0.388888889,0.4,0.1,50,980,0.21314
70,3.634025044,5,100,0,0,0.25,40,0.5,0.4,0.1,90,980,0.10188
40,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,0.05031
100,3.33,6.25,84.5,0,15.5,0.24,44.70119726,0.428571429,1.69,2,125,1100,0.3945
80,68.19816646,15.06164193,85.52915767,0,14.47084233,1.666666667,20,1.304913997,0.256587473,0.742630275,175,1100,0.73482438
120,15,6.25,85.52915767,0,14.47084233,0,46.5,0.550215476,0.086718013,0.4,50,1100,0.31021
110,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,120,946.4664688,0.52597
30,6.795267144,5,85.52915767,0,14.47084233,0.25,40,0.5,0.4,0.1,90,980,0.0216
120,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1100,0.2045
40,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,0.014
80,40,3.645,34.61,48.47,16.92,0.409308137,40,0.430455139,2.077,0.5,175,1100,0.36187
60,25,4,85.52915767,0,14.47084233,0.15,40,0.2,1.282937365,0.6,175,1100,0.06959
50,60,25,0,83.55,16.45,1.093165594,0,0.943999767,2.5065,0.7,125,1100,0.008
80,50,5,64.37977662,0,16.01486981,0.33,70,0.33,0.965696649,0.57,125,1100,0.37549
80,28.71932958,8,17.14285714,0,13.09596686,0.052631579,20,0.358124056,0.1,0.367570086,175,1100,0.20808
90,15,4,85.52915767,0,14.47084233,0,46.3,0.438682321,0.462011404,0.4,50.8,1100,0.40777
55,131.8694592,120,100,0,0,0.492142612,100,3.362664391,1,0.9,125,1100,0.11
80,40,1,85.52915767,0,14.47084233,0.25,0,2,1.5,0,125,1100,0.00156
20,20,5,74.37742114,16.76812396,8.854454898,0.267789667,100,0.419134153,2.734366353,3,125,1100,0.0151
80,2,25,85.52915767,0,14.47084233,0.348796808,63.45910565,0.250319708,2.138228942,0.8,175,1100,0.16014
30,10,20,100,0,0,0.25,100,0.428571429,1.5,1,88,1100,0.01
60,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,0.024
90,15,1.21,85.52915767,0,14.47084233,0,46.5,0.428571429,0.085529158,0.02,50,1100,0.16828
50,100,5.29,100,0,0,4.545454545,100,3,0.55,0.5,175,1100,0.12256143
60,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.5,90,1000,0.1867
25,50,4,85.52915767,0,14.47084233,0.052631579,20,0.428571429,0.38,0.2,50,1100,0.11249
80,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1100,0.16414
80,4,5,74.37742114,16.76812396,8.854454898,0.176470588,40,0.388888889,0.3,0.1,50,980,0.4704
90,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1100,0.15834
80,5,5,75,0,17.61955664,0.25,45.8,0.25,1.75,0.2,50,1100,0.345
50,100,5.29,100,0,0,2.727272727,100,3,0.55,0.5,175,1100,0.14405402
80,50,4,85.52915767,0,14.47084233,0.33,40,0.33,0.855291577,0.5,50,1100,0.36536
70,100,25,100,0,0,1.424291924,100,5.631522138,2,1,175,1100,0.08723
120,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,0.303
80,20,5,74.37742114,16.76812396,8.854454898,0,100,0,2.734366353,0.2,125,1100,0.31865
80,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,0.11
70,60,25,0,83.55,16.45,1.209403102,0,0.949670782,2.5065,0.7,125,1100,0.012
80,40,3.645,66.86367932,0,11.13280261,0.33,40,0.33,2.5,0.5,175,1100,0.05682
80,6,1,100,0,0,0.425549591,0,1.21601819,2,0,125,1100,0.02389
20,20,5,74.37742114,16.76812396,8.854454898,0.225125144,100,0.4166106,2.734366353,3,125,1100,0.02097
25,18.37904887,5,74.63556851,9.815354713,15.54907677,0.111111111,46.1,0.369863014,2.111273081,0.4,125,1100,0.006
80,50,25,85.73,0,14.27,0.33,60,0.25,0.05,0.8,175,1100,0.16
80,6,1,100,0,0,0.319707965,0,1.216631476,2,0,125,1100,0.0123
80,50,5,52.87553066,0,16.94728547,0.33,70,0.33,0.79313296,0.57,125,1100,0.42642
80,300,25,85.52915767,0,14.47084233,0.6,47,0.2385,0.1,0.1,175,1100,0.04226
80,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1100,0.11629
80,40,3.645,66.86367932,0,11.13280261,0.33,40,0.33,2.5,0.5,175,1100,0.04532
80,60,25,0,75.66401816,24.33598184,0.818160983,30,0.656443212,2.269920545,0.21,125,1100,0.01833
80,25,17.64,85.52915767,0,14.47084233,0.203403821,60.94810444,0.153760734,2.25,0.8,175,1100,0.12537
60,270,48.37084145,85.52915767,0,14.47084233,1.671619117,63.72813147,1.639070353,0.256587473,0.5,175,1100,0.12384
80,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,105,1031,0.407
90,126.4379627,8,85.52915767,0,14.47084233,0.052631579,40,9.375,1.710583153,0.96,125,1100,0.11121
80,20,5,74.37742114,16.76812396,8.854454898,0,100,0,2.734366353,3,125,1100,0.22078
80,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,1.03
30,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,0.36458218,0.1,90,1000,0.00372
80,3.33,6.25,84.5,0,15.5,0.24,45.01864041,0.428571429,1.69,2,125,1100,0.24705
70,4,6.299615628,40,0,21.97791598,0.5,30,0.5,0.4,1,125,1100,0.01905
80,25,17.64,85.52915767,0,14.47084233,0.293560947,59.00710904,0.236309593,2.25,0.8,175,1100,0.17273
100,75,50,100,0,0,0,100,0,0.25,0.25,50,825,0.07955
60,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,0.017
80,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,105,1219.5,0.295
80,4,5,74.37742114,16.76812396,8.854454898,0.188042222,30,0.329494887,0.34,0.1,90,1000,0.254
30,10,20,100,0,0,0.428571429,100,0.428571429,1.5,1,50,1100,0.01
60,20,5,74.37742114,16.76812396,8.854454898,0.175165486,100,0.146826524,2.734366353,3,125,1100,0.17423
80,40,3.645,34.61,48.47,16.92,0.409308137,40,0.430455139,2.077,0.5,175,1100,0.36187
80,19.87895898,5,59,0,16,0.6,40,1.5,0.59,0.4,125,1100,0.23931
70,2,5,85.52915767,0,14.47084233,0.5,50,0.5,2,0.3,120,870,0.303
100,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,0.127
22,0.166666667,5,74.37742114,16.76812396,8.854454898,0.25,100,0.25,2.734366353,0.5,125,1100,0.012
90,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,120,906.4787134,0.20915
40,100,5.29,100,0,0,0.909090909,100,3,0.55,0.5,175,1100,0.03541348
80,50,4,85.52915767,0,14.47084233,0.33,40,0.33,1.282937365,0.5,50,1100,0.45446
30,4,5,85.52915767,0,14.47084233,0.25,30,0.5,1.282937365,0.5,125,1100,0.032
80,40,2.89,85.52915767,0,14.47084233,0.331638452,40,0.53927078,0.27,0.5,175,1100,0.21337
25,22.36134449,5,76.72992366,2.378541997,15.30031216,1.425,46.1,0.37,1.977711641,0.4,125,1100,0.0033
80,20,5,74.37742114,16.76812396,8.854454898,0.171025803,100,0.14081996,2.734366353,3,125,1100,0.714
60,60,25,0,75.66401816,24.33598184,1.369106679,0,1.238964173,2.269920545,0.7,125,1100,0.07675
80,300,25,85.52915767,0,14.47084233,0.8,47,0.2385,0.1,0.1,175,1100,0.00952
120,40.9654027,4,51.42857143,0,24.59807287,0.176470588,100,0.176470588,0.462857143,0.5,175,1100,0.24577
80,3,1,42.76457883,0,17.851,0.33,40,0.33,0.320734341,0.2,50,1100,0.0998
80,2,5,85.52915767,0,14.47084233,0.5,50,0.5,2,0.3,120,870,0.4
80,3,1,38.48805,0,17.7521,0.142857143,40,0.333,0.288660375,0.2,50,1100,0.09994529
80,25,17.64,85.52915767,0,14.47084233,0.286056419,57.86464151,0.231387366,2.25,0.8,175,1100,0.25123
80,5,5,75,0,17.5,0.13,4.8,0.25,1.58,0.025,50,1100,0.31458
80,77.42553304,19.99378136,85.52915767,0,14.47084233,2.5,20,1.384231215,0.171058315,0.738396482,175,1100,0.74242838
70,3.070466907,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,0.34085
80,3,1,38.48805,0,17.7521,0.083333333,40,0.333,0.288660375,0.2,50,1100.320347,0.17308535
120,2,5.214930901,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1104.744499,0.35596
100,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,120,918.6766929,0.29074
80,20,5,74.37742114,16.76812396,8.854454898,0,20,0,2.734366353,0.2,125,1100,0.19599
30,60,25,0,75.66401816,24.33598184,0.923948621,0,0.894820447,2.269920545,0.7,125,1100,0.0051
80,3,1,85.73,0,14.27,0.180901252,40,0.395001104,0.8573,0.2,50,1100,0.05503
80,5,5,75,0,17.61955664,0.25,45.8,0.25,1.75,0.2,50,1100,0.1906
100,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1100,0.26121
40,100,5.29,100,0,0,2.727272727,100,3,0.55,0.5,175,1100,0.10441581
100,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,70,206.185567,0.06
80,4,5,74.37742114,16.76812396,8.854454898,0.181193633,30,0.32487551,0.34,0.1,90,1000,0.20195
90,122.8661049,8,85.52915767,0,14.47084233,0.052631579,40,16.66666667,1.710583153,0.96,125,1100,0.12844
40,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,125,1100,0.096
50,2,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.5,0.4,120,870,0.18997
50,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,125,1100,0.15
80,40,4,85.52915767,0,14.47084233,0.22,60,1,1.282937365,0.3,125,1100,0.14976
80,50,4,85.52915767,0,14.47084233,0.25,20,0.428571429,0.38,0.2,50,1100,0.36487
80,40,3.645,34.28571429,0,16.81318675,0.302852659,40,0.225395849,0.342857143,0.5,175,1100,0.0702
90,3.33,6.25,84.5,0,15.5,0.24,44.79338126,0.428571429,1.69,2,125,1100,0.38805
60,45,22.7,85.52915767,0,14.47084233,0.15,40,0.2,2.993520518,0.6,175,1100,0.01675
80,2000,250,85.52915767,0,14.47084233,2.170319628,46,1.873798728,0.855291577,0.5,175,1100,0.1203
60,45,22.7,85.52915767,0,14.47084233,0.15,40,0.2,0.855291577,0.6,175,1100,0.04343
40,4,5,44.62645268,10.06087438,5.312672939,0.176470588,40,0.388888889,0.4,0.1,50,980,0.034
80,20,5,74.37742114,16.76812396,8.854454898,0.16460804,100,0.128906863,2.734366353,3,125,1100,0.32474
40,1,5,74.37742114,16.76812396,8.854454898,0.176470588,40,0.388888889,1.5,0.1,90,980,0.07268
60,18.4106625,4,85.52915767,0,14.47084233,0.176,40,0.299,0.74838013,1,175,1100,0.03284
