iter	Logloss
0	0.6926230715
1	0.6920490402
2	0.6914966819
3	0.6909228451
4	0.690316683
5	0.6897493824
6	0.6892646603
7	0.6886893083
8	0.6880030749
9	0.6874973294
10	0.6868790769
11	0.6862861322
12	0.6857220024
13	0.6850887912
14	0.6844733378
15	0.6840049839
16	0.6834994073
17	0.6831025311
18	0.6825420777
19	0.6820236487
20	0.6815566119
21	0.6809146733
22	0.6804080031
23	0.6798716126
24	0.6793456621
25	0.6788543959
26	0.6782268391
27	0.6775502563
28	0.6770835735
29	0.6763605309
30	0.6757829812
31	0.6753866952
32	0.6748166379
33	0.674276786
34	0.6738138283
35	0.6732543777
36	0.6728216662
37	0.6722468088
38	0.6717448484
39	0.6711785748
40	0.6706725504
41	0.6701224403
42	0.6697384853
43	0.6691991565
44	0.6687061098
45	0.6681310179
46	0.6676211815
47	0.6671141411
48	0.6665622281
49	0.6659728635
