OT,FR,AA,IR,RU,O,ICA,PT,ICC,AL,CL,MT,EW,CD,ST,CL_50
80,50,4,85.52915767,0,14.47084233,0.052631579,20,0.428571429,0.38,0.2,50,1100,1,122,0
80,1,1,19.1,0,3.231565657,0.43,46,0.43,0.5,0.5,175,1100,0.3,100,0
80,1.5,5,40,0,12.7397,0.25658492,46,0.533679577,0.4,0.184,50,1100,0.001,15,1
50,5.629181396,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,4,1000,1
30,10,20,20,0,0,0.428571429,100,0.428571429,1.5,1,88,1100,0.22797,4,1
80,60,25,0,83.55,16.45,1.166449873,0,0.930610563,2.5065,0.7,125,1100,1,500,1
55,172.8442295,120,100,0,0,0.599944605,100,4.727635529,1,0.9,125,1100,4,250,1
80,40,3.645,85.52915767,0,14.47084233,0.402491773,40,0.457914718,2.138228942,0.5,175,1100,1,300,0
80,40.84253457,25,74.37742114,16.76812396,8.854454898,0.43,40,0.33,0.911455451,0.4,50,1100,1,400,1
80,1.5,5,100,0,0,0.374007744,46,0.624647855,1,0.184,50,1100,0.001,5.8,1
80,9.1,5,85.73,0,14.27,0.052631579,46.7,0.428571429,1.000691145,0.1,25,1100,0.3,24,0
80,50,4,85.52915767,0,14.47084233,0.33,40,0.33,2.56587473,0.5,50,1100,1,105,0
80,5,5,75,0,17.61955664,0.25,45.8,0.25,1.75,0.2,50,1100,3,100,0
80,40,3.645,6686.367932,0,1113.280261,0.33,40,0.33,2.5,0.5,175,1100,1,10,0
80,109.4797653,50,32.57142857,0,30.26987009,0.709577908,61.15418245,1.292839834,0.651428571,0.4,125,1100,1.5,1200,1
55,40,8,74.37742114,16.76812396,8.854454898,0.25,100,2.5,3,3,90,980,1,5700,1
80,27.6,86,85.52915767,0,14.47084233,0.15,20,0.15,0.08,0.3,175,1100,1.8,2500,1
25,5.629181396,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,1,223,0
80,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,1,1000,1
80,1.5,5,40,0,0,0.281176263,46,0.546633737,0.4,0.184,50,1100,0.001,9.16,1
80,9.884736133,5,100,0,0,0.25,40,0.5,0.4,0.1,90,980,1,1000,1
80,23.18781906,8,85.52915767,0,14.47084233,0.052631579,20,0.331245219,0.179611231,0.245296397,50,1100,1,430,0
80,75,50,100,0,0,0,100,0,0.5,0.25,125,1100,10,5515,1
80,4,5,74.37742114,16.76812396,8.854454898,0.216438027,30,0.508048208,1.27,0.1,90,1000,1,1000,1
80,37.56499288,4,0,61.27392967,24.63458319,0.33,40,0.33,2.081839933,0.625464892,125,1100,1,22.25,0
80,40,3.645,34.61,48.47,16.92,0.409308137,40,0.430455139,2.077,0.5,175,1100,3,300,0
80,4,5,44.62645268,10.06087438,5.312672939,0.176470588,40,0.388888889,0.4,0.1,50,980,4,3500,1
80,40,4,85.73,0,14.27,0.22,60,1,1.282937365,0.3,125,1100,1,60,0
80,9.884736133,5,100,0,0,0.25,40,0.5,0.4,0.1,90,980,1,200,1
80,23.18781906,8,85.52915767,0,14.47084233,0.052631579,20,0.331245219,0.940820734,0.309063001,50,1100,1,100,0
