"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"AA","AA",4.81225059856345,60,"AA:AA",1.80337016574586
"AA","AL",3.68276440410418,36,"AL:AA",1.80337016574586
"AA","CD",3.21888053467001,39,"CD:AA",1.80337016574586
"AA","CL",3.51503759398496,23,"CL:AA",1.80337016574586
"AA","EW",4.24849717114569,20,"EW:AA",1.80337016574586
"AA","FR",3.90290816326531,40,"FR:AA",1.80337016574586
"AA","ICA",3.87232677502139,30,"ICA:AA",1.80337016574586
"AA","ICC",3.63186037126715,39,"ICC:AA",1.80337016574586
"AA","IR",3.62610619469027,19,"IR:AA",1.80337016574586
"AA","MT",3.14285714285714,13,"MT:AA",1.80337016574586
"AA","O",3.36758760107817,67,"O:AA",1.80337016574586
"AA","OT",3.86988705738706,14,"OT:AA",1.80337016574586
"AA","PT",4.02735160965795,39,"PT:AA",1.80337016574586
"AA","RU",3.34523809523809,18,"RU:AA",1.80337016574586
"AA","ST",3.81079454253612,59,"ST:AA",1.80337016574586
"AL","AA",2.33155426975259,111,"AA:AL",3.10497237569061
"AL","AL",3.05756708760852,63,"AL:AL",3.10497237569061
"AL","CD",3.09226190476191,55,"CD:AL",3.10497237569061
"AL","CL",3.06860902255639,42,"CL:AL",3.10497237569061
"AL","EW",3.46737977369165,40,"EW:AL",3.10497237569061
"AL","FR",3.25127551020408,62,"FR:AL",3.10497237569061
"AL","ICA",3.01411462788708,64,"ICA:AL",3.10497237569061
"AL","ICC",2.94188861985472,64,"ICC:AL",3.10497237569061
"AL","IR",3.0111409608091,39,"IR:AL",3.10497237569061
"AL","MT",2.75297619047619,33,"MT:AL",3.10497237569061
"AL","O",3.50432389937107,72,"O:AL",3.10497237569061
"AL","OT",3.30166361416361,44,"OT:AL",3.10497237569061
"AL","PT",3.15643863179074,64,"PT:AL",3.10497237569061
"AL","RU",3.17857142857143,19,"RU:AL",3.10497237569061
"AL","ST",2.61266051364366,95,"ST:AL",3.10497237569061
"CD","AA",3.2471568236233,92,"AA:CD",3.5914364640884
"CD","AL",3.2857636148382,60,"AL:CD",3.5914364640884
"CD","CD",3.53315580618212,38,"CD:CD",3.5914364640884
"CD","CL",3.41306390977444,31,"CL:CD",3.5914364640884
"CD","EW",3.55171499292786,34,"EW:CD",3.5914364640884
"CD","FR",3.53244897959184,51,"FR:CD",3.5914364640884
"CD","ICA",3.32062660393499,54,"ICA:CD",3.5914364640884
"CD","ICC",3.2398607748184,52,"ICC:CD",3.5914364640884
"CD","IR",3.32822376738306,25,"IR:CD",3.5914364640884
"CD","MT",2.91666666666667,29,"MT:CD",3.5914364640884
"CD","O",3.22085579514825,76,"O:CD",3.5914364640884
"CD","OT",3.6717032967033,31,"OT:CD",3.5914364640884
"CD","PT",3.80300553319919,43,"PT:CD",3.5914364640884
"CD","RU",3.38988095238095,18,"RU:CD",3.5914364640884
"CD","ST",2.36125601926164,88,"ST:CD",3.5914364640884
"CL","AA",3.36921388667199,87,"AA:CL",4.94939226519337
"CL","AL",3.90099644830308,39,"AL:CL",4.94939226519337
"CL","CD",3.47243107769424,37,"CD:CL",4.94939226519337
"CL","CL",3.7546992481203,26,"CL:CL",4.94939226519337
"CL","EW",4.18847241867044,23,"EW:CL",4.94939226519337
"CL","FR",3.91551020408163,43,"FR:CL",4.94939226519337
"CL","ICA",3.77117194183062,40,"ICA:CL",4.94939226519337
"CL","ICC",3.70384382566586,37,"ICC:CL",4.94939226519337
"CL","IR",3.61907395701643,21,"IR:CL",4.94939226519337
"CL","MT",2.86309523809524,26,"MT:CL",4.94939226519337
"CL","O",4.05227987421384,62,"O:CL",4.94939226519337
"CL","OT",3.82242063492064,21,"OT:CL",4.94939226519337
"CL","PT",3.83985160965795,39,"PT:CL",4.94939226519337
"CL","RU",3.3422619047619,17,"RU:CL",4.94939226519337
"CL","ST",4.25642054574639,55,"ST:CL",4.94939226519337
"EW","AA",5.35993615323224,50,"AA:EW",5.77016574585635
"EW","AL",4.06876479873717,24,"AL:EW",5.77016574585635
"EW","CD",3.85082497911445,20,"CD:EW",5.77016574585635
"EW","CL",3.75,17,"CL:EW",5.77016574585635
"EW","EW",4.41849363507779,6,"EW:EW",5.77016574585635
"EW","FR",4.08954081632653,32,"FR:EW",5.77016574585635
"EW","ICA",4.08303036783576,27,"ICA:EW",5.77016574585635
"EW","ICC",3.88993139628733,26,"ICC:EW",5.77016574585635
"EW","IR",3.62744943109987,11,"IR:EW",5.77016574585635
"EW","MT",3.19940476190476,12,"MT:EW",5.77016574585635
"EW","O",4.70844564240791,38,"O:EW",5.77016574585635
"EW","OT",3.90728021978022,13,"OT:EW",5.77016574585635
