,Operating Temperature (℃),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),Membrane Thickness (μm),EW,Current at 1.8 V
452,70.0,4.0,5.0,74.37742114,16.76812396,8.854454898,0.2,30.0,0.3,1.367183177,0.1,90.0,1000.0,2.50139
558,80.0,5.0,5.0,75.0,0.0,17.61955664,0.25,45.8,0.25,1.75,0.2,50.0,1100.0,4.00118
390,120.0,2.0,5.0,85.52915767,0.0,14.47084233,0.5,30.0,0.5,4.276457883,0.8,125.0,1100.0,0.5788
82,80.0,40.0,5.0,85.52915767,0.0,14.47084233,0.67,40.0,0.67,0.2,0.5,125.0,1100.0,1.36934
155,35.0,3.0,1.0,42.76457883,0.0,17.851,0.33,40.0,0.33,0.320734341,0.2,50.0,1100.0,0.20972
23,100.0,75.0,50.0,100.0,0.0,0.0,0.0,100.0,0.0,0.25,0.25,50.0,825.0,3.22654
457,50.0,4.0,5.0,74.37742114,16.76812396,8.854454898,0.2,30.0,0.3,0.36458218,0.1,90.0,1000.0,1.55533
482,80.0,40.0,3.645,51.42857143,0.0,15.97069593,0.283960741,40.0,0.324856585,0.514285714,0.5,175.0,1100.0,0.78104
38,40.0,100.0,5.29,100.0,0.0,0.0,2.727272727,100.0,3.0,0.55,0.5,175.0,1100.0,0.853731503
264,30.0,60.0,25.0,0.0,75.66401816,24.33598184,0.991478011,0.0,0.895946091,2.269920545,0.7,125.0,1100.0,0.22
532,60.0,270.0,46.29038746,85.52915767,0.0,14.47084233,2.25415716,61.69268321,2.060287811,0.256587473,0.5,175.0,1100.0,0.86611
450,50.0,4.0,5.0,74.37742114,16.76812396,8.854454898,0.2,30.0,0.3,1.367183177,0.1,90.0,1000.0,1.89683
10,80.0,4.166666667,100.0,85.52915767,0.0,14.47084233,0.299736894,100.0,0.113758053,1.026349892,0.4,175.0,1100.0,0.53847
277,80.0,50.0,25.0,85.52915767,0.0,14.47084233,0.262323088,100.0,0.143781181,2.5,0.8,175.0,1100.0,1.557
326,120.0,3.33,6.25,85.52915767,0.0,14.47084233,0.5,40.0,0.5,1.710583153,2.0,70.0,206.185567,2.388
412,90.0,4.41005401,5.0,74.37742114,16.76812396,8.854454898,0.176,30.0,0.333,0.36458218,0.1,90.0,980.0,3.57385
32,40.0,100.0,5.29,100.0,0.0,0.0,0.0,100.0,3.0,0.55,0.5,175.0,1100.0,0.169430807
22,100.0,75.0,50.0,100.0,0.0,0.0,0.0,100.0,0.0,0.25,0.25,50.0,825.0,0.29216
468,90.0,3.33,6.25,84.5,0.0,15.5,0.24,44.79338126,0.428571429,1.69,2.0,125.0,1100.0,1.96668
571,80.0,46.54984771,4.0,0.0,75.66401816,24.33598184,0.33,40.0,0.33,1.930846742,0.549794743,125.0,1100.0,2.04997
25,100.0,75.0,50.0,100.0,0.0,0.0,0.0,100.0,0.0,0.375,0.25,50.0,825.0,4.23206
473,80.0,40.0,3.645,85.52915767,0.0,14.47084233,0.402491773,40.0,0.457914718,2.138228942,0.5,175.0,1100.0,1.1999
561,25.0,18.07778353,5.0,68.32740214,15.40416878,16.26842908,0.111111111,46.1,0.369863014,2.093289273,0.4,125.0,1100.0,0.31481
527,50.0,12.79225342,5.0,85.52915767,0.0,14.47084233,0.25,40.0,0.5,0.4,0.1,90.0,980.0,1.71659
327,80.0,0.5,4.0,85.52915767,0.0,14.47084233,0.3,40.0,0.3,1.710583153,0.24,125.0,1100.0,1.739
162,80.0,7.813710338,1.0,77.1429,0.0,14.9804,0.176470588,20.0,0.176470588,1.542858,0.5,125.0,1100.0,1.31155
52,80.0,50.0,4.0,85.52915767,0.0,14.47084233,0.33,40.0,0.33,2.56587473,0.5,50.0,1100.0,3.20917
89,80.0,25.0,17.64,85.52915767,0.0,14.47084233,0.275483208,59.29664324,0.250495304,2.25,0.8,175.0,1100.0,1.44296
243,80.0,6.0,1.0,100.0,0.0,0.0,0.197204645,0.0,1.096392145,2.0,0.0,125.0,1100.0,0.37531
65,30.0,10.0,20.0,100.0,0.0,0.0,0.667,100.0,0.428571429,1.5,1.0,88.0,1100.0,0.35308
508,80.0,50.0,5.0,64.37977662,0.0,16.01486981,0.33,70.0,0.33,0.965696649,0.57,125.0,1100.0,1.91281
359,80.0,250.0,86.0,50.0,0.0,0.0,0.0,50.0,0.0,0.15,0.15,175.0,1100.0,1.23626
545,60.0,270.0,44.4178097,85.52915767,0.0,14.47084233,1.589274889,63.70239129,1.46078364,0.256587473,0.5,175.0,1100.0,0.79026
242,90.0,2.0,5.0,74.37742114,16.76812396,8.854454898,0.25,30.0,0.5,1.5,0.4,125.0,1100.0,2.66476
394,110.0,2.0,5.0,85.52915767,0.0,14.47084233,0.5,30.0,0.5,4.276457883,0.8,120.0,901.8686384,1.73641
521,60.0,5.88203717,5.0,100.0,0.0,0.0,0.25,40.0,0.5,0.4,0.1,90.0,980.0,0.85759
383,100.0,2.0,5.0,85.52915767,0.0,14.47084233,0.5,30.0,0.5,4.276457883,0.8,120.0,909.2903488,1.64692
386,80.0,2.0,5.0,85.52915767,0.0,14.47084233,0.5,30.0,0.5,4.276457883,0.8,125.0,1100.0,0.86244
275,40.0,20.0,25.0,100.0,0.0,0.0,0.26887693,100.0,0.187223176,1.0,0.3,121.633866,1100.0,0.627
229,80.0,3.0,1.0,38.48805,0.0,17.7521,0.146996111,40.0,0.317235791,0.288660375,0.2,50.0,1100.0,5.2559
40,60.0,100.0,5.29,100.0,0.0,0.0,2.727272727,100.0,3.0,0.55,0.5,175.0,1100.0,1.185162423
385,120.0,2.0,5.0,85.52915767,0.0,14.47084233,0.5,30.0,0.5,4.276457883,0.8,120.0,960.7222459,0.48129
463,80.0,4.0,5.0,74.37742114,16.76812396,8.854454898,0.2,30.0,0.3,0.36458218,0.1,90.0,1000.0,2.17153
405,120.0,2.0,4.570086079,85.52915767,0.0,14.47084233,0.5,30.0,0.5,4.276457883,0.8,125.0,1107.432325,1.07521
346,60.0,51.01669281,25.0,80.2284846,4.689280639,15.08223476,1.425,46.1,0.37,1.273766479,0.4,125.0,1100.0,0.75084
333,80.0,20.0,5.0,74.37742114,16.76812396,8.854454898,0.16033089,100.0,0.129656041,2.734366353,3.0,125.0,1100.0,2.806
431,60.0,45.0,22.7,85.52915767,0.0,14.47084233,0.15,40.0,0.2,0.855291577,0.6,175.0,1100.0,0.93418
56,80.0,50.0,4.0,85.52915767,0.0,14.47084233,0.33,40.0,0.33,3.421166307,1.0,50.0,1100.0,2.9198
259,80.0,7.0,4.0,0.0,75.66401816,24.33598184,0.265524335,40.0,0.380275882,2.269920545,0.6,125.0,1100.0,1.201
71,80.0,10.0,20.0,100.0,0.0,0.0,0.667,100.0,0.428571429,1.5,1.0,88.0,1100.0,1.59901
90,80.0,25.0,17.64,85.52915767,0.0,14.47084233,0.203403821,60.94810444,0.153760734,2.25,0.8,175.0,1100.0,1.36057
271,90.0,15.0,6.25,85.52915767,0.0,14.47084233,0.024426311,46.3,0.408384648,0.085529158,0.4,50.0,1100.0,1.914
480,80.0,40.0,3.645,34.28571429,0.0,16.02060897,0.318160019,40.0,0.236312215,0.342857143,0.5,175.0,1100.0,0.54763
217,80.0,60.0,25.0,0.0,60.3,23.9,0.533299699,30.0,0.352105292,3.0,0.7,125.0,1100.0,0.46432
261,80.0,7.0,4.0,0.0,30.35461078,22.62905869,0.279346868,40.0,0.400496475,0.910638323,0.6,125.0,1100.0,1.251
557,80.0,5.0,5.0,75.0,0.0,17.61955664,0.25,45.8,0.25,1.75,0.2,50.0,1100.0,2.76456
228,80.0,3.0,1.0,38.48805,0.0,17.7521,0.160804695,40.0,0.317185376,0.288660375,0.2,50.0,1100.0,4.31054
406,25.0,0.176042236,5.0,74.37742114,16.76812396,8.854454898,0.176,30.0,0.333,0.36458218,0.1,90.0,980.0,1.31871
193,90.0,4.0,5.0,44.62645268,10.06087438,5.312672939,0.176470588,40.0,0.388888889,0.4,0.1,50.0,980.0,3.23186
120,60.0,50.0,4.0,85.52915767,0.0,14.47084233,0.052631579,20.0,0.428571429,0.38,0.2,50.0,1100.0,2.93829
273,120.0,15.0,6.25,85.52915767,0.0,14.47084233,0.019426246,46.3,0.403187095,0.085529158,0.4,50.0,1100.0,4.641
