"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"IR","ICC",4.0022619047619,140,"ICC:IR",3.31
"IR","IR",5.37053571428571,109,"IR:IR",3.31
"IR","MT",3.37428571428571,155,"MT:IR",3.31
"IR","O",5.37818452380952,97,"O:IR",3.31
"IR","OT",3.67928571428571,144,"OT:IR",3.31
"IR","PT",4.46101190476191,110,"PT:IR",3.31
"IR","RU",4.46898496240602,66,"RU:IR",3.31
"MT","AA",4.09261904761905,120,"AA:MT",1.77
"MT","AL",4.30461309523809,113,"AL:MT",1.77
"MT","CL",4.59202380952381,109,"CL:MT",1.77
"MT","EW",4.50670775924583,91,"EW:MT",1.77
"MT","FR",5.19761904761905,88,"FR:MT",1.77
"MT","ICA",2.80333333333333,155,"ICA:MT",1.77
"MT","ICC",3.49377976190476,145,"ICC:MT",1.77
"MT","IR",4.95386904761905,113,"IR:MT",1.77
"MT","MT",4.55952380952381,143,"MT:MT",1.77
"MT","O",4.89693452380952,107,"O:MT",1.77
"MT","OT",3.53053571428571,142,"OT:MT",1.77
"MT","PT",4.85788690476191,103,"PT:MT",1.77
"MT","RU",4.61998746867168,64,"RU:MT",1.77
"O","AA",4.61592261904762,113,"AA:O",3.445
"O","AL",4.53190476190476,112,"AL:O",3.445
"O","CL",4.83011904761905,109,"CL:O",3.445
"O","EW",4.99175126903553,79,"EW:O",3.445
"O","FR",4.73142857142857,96,"FR:O",3.445
"O","ICA",3.02642857142857,161,"ICA:O",3.445
"O","ICC",3.57267857142857,142,"ICC:O",3.445
"O","IR",5.00892857142857,110,"IR:O",3.445
"O","MT",3.035,155,"MT:O",3.445
"O","O",5.16479166666667,107,"O:O",3.445
"O","OT",4.00675595238095,141,"OT:O",3.445
"O","PT",4.43035714285714,116,"PT:O",3.445
"O","RU",4.44110275689223,67,"RU:O",3.445
"OT","AA",3.34455357142857,135,"AA:OT",2.125
"OT","AL",3.42985119047619,129,"AL:OT",2.125
"OT","CL",3.63345238095238,125,"CL:OT",2.125
"OT","EW",3.49616267826928,110,"EW:OT",2.125
"OT","FR",3.40428571428571,120,"FR:OT",2.125
"OT","ICA",1.81452380952381,166,"ICA:OT",2.125
"OT","ICC",3.06964285714286,148,"ICC:OT",2.125
"OT","IR",3.44047619047619,132,"IR:OT",2.125
"OT","MT",1.70404761904762,165,"MT:OT",2.125
"OT","O",3.69342261904762,121,"O:OT",2.125
"OT","OT",3.31592261904762,153,"OT:OT",2.125
"OT","PT",4.01592261904762,121,"PT:OT",2.125
"OT","RU",4.0015664160401,77,"RU:OT",2.125
"PT","AA",4.81779761904762,106,"AA:PT",3.145
"PT","AL",4.3652380952381,112,"AL:PT",3.145
"PT","CL",4.39214285714286,116,"CL:PT",3.145
"PT","EW",4.72341068407058,81,"EW:PT",3.145
"PT","FR",4.65404761904762,96,"FR:PT",3.145
"PT","ICA",2.69357142857143,162,"ICA:PT",3.145
"PT","ICC",4.40511904761905,132,"ICC:PT",3.145
"PT","IR",3.79315476190476,137,"IR:PT",3.145
"PT","MT",2.94880952380952,153,"MT:PT",3.145
"PT","O",4.40625,118,"O:PT",3.145
"PT","OT",3.59598214285714,143,"OT:PT",3.145
"PT","PT",4.63928571428572,112,"PT:PT",3.145
"PT","RU",4.25845864661654,68,"RU:PT",3.145
"RU","AA",6.91235119047619,73,"AA:RU",5.2825
"RU","AL",6.05104166666667,73,"AL:RU",5.2825
"RU","CL",6.65309523809524,80,"CL:RU",5.2825
"RU","EW",5.88324873096447,60,"EW:RU",5.2825
"RU","FR",6.41119047619048,66,"FR:RU",5.2825
"RU","ICA",6.59904761904762,126,"ICA:RU",5.2825
"RU","ICC",6.98425595238095,105,"ICC:RU",5.2825
"RU","IR",7.15773809523809,78,"IR:RU",5.2825
"RU","MT",6.30190476190476,121,"MT:RU",5.2825
"RU","O",6.94345238095238,68,"O:RU",5.2825
"RU","OT",6.25181547619048,107,"OT:RU",5.2825
"RU","PT",6.96502976190476,63,"PT:RU",5.2825
"RU","RU",5.24467418546366,29,"RU:RU",5.2825
