OT,FR,AA,IR,RU,O,ICA,PT,ICC,AL,CL,MT,EW,CL_2V_2A
100,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,70,206.185567,1
80,133.8868696,50,74.57142857,0,17.63723082,0.52331276,56.65162919,1.630061366,1.491428571,0.4,125,1100,1
30,60,25,0,75.66401816,24.33598184,0.923948621,0,0.894820447,2.269920545,0.7,125,1100,0
80,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1100,0
80,4,5,74.37742114,16.76812396,8.854454898,0.176470588,40,0.388888889,0.3,0.1,50,980,1
80,5,5,75,0,17.5,0.13,4.8,0.25,3.97,0.025,50,1100,1
80,50,4,85.52915767,0,14.47084233,0.33,40,0.33,3.421166307,2,50,1100,1
80,5,5,75,0,16.78919732,0.131221719,46.7,0.6,2,0.35,50,1100,1
80,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,105,1031,1
22,0.166666667,5,74.37742114,16.76812396,8.854454898,0.25,0,0.25,2.734366353,0,125,1100,0
100,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,1
80,18.36534503,5,59,0,16,1.25,40,1.5,0.5,0.4,125,1100,1
80,25,17.64,85.52915767,0,14.47084233,0.348193311,60.56907602,0.26292885,2.25,0.8,175,1100,1
60,270,48.37084145,85.52915767,0,14.47084233,1.671619117,63.72813147,1.639070353,0.256587473,0.5,175,1100,0
120,15,6.25,85.52915767,0,14.47084233,0,46.5,0.430129594,0.885714298,0.4,50,1100,1
90,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,1
80,5,5,75,0,17.61955664,0.25,45.8,0.25,1.75,0.2,50,1100,1
80,50,25,85.73,0,14.27,0.33,60,0.25,0.013,0.8,175,1100,1
80,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,105,1219.5,1
90,15,4,85.52915767,0,14.47084233,0,46.3,0.37254426,0.085546263,0.4,50.8,1100,1
80,112.2360681,50,21.42857143,0,33.62138663,0.589995467,65.19172916,1.40445547,0.428571429,0.4,125,1100,1
27.5,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,0
60,60,25,0,60.3,23.9,0.651617251,30,0.352986376,3,0.7,125,1100,0
30,10,20,100,0,0,0.428571429,100,0.428571429,1.5,1,125,1100,0
80,5,5,75,0,16.57390417,0.131221719,46.7,0.6,2,0.35,50,1100,1
80,5,5,75,0,17.61955664,0.25,45.8,0.25,1.75,0.2,50,1100,1
55,178.7214194,120,100,0,0,0.599944605,100,4.727635529,1,0.9,125,1100,0
120,2,5.214930901,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1104.744499,0
80,25,17.64,85.52915767,0,14.47084233,0.392512756,58.91114485,0.280061335,2.25,0.8,175,1100,1
80,23.18781906,8,85.52915767,0,14.47084233,0.052631579,20,0.547779252,0.230928726,0.31848447,50,1100,1
80,40,3.645,34.28571429,0,15.0234511,0.336870784,40,0.269741992,0.342857143,0.5,175,1100,0
50,9.884736133,5,100,0,0,0.25,40,0.5,0.4,0.1,90,980,0
70,4,5,44.62645268,10.06087438,5.312672939,0.176470588,40,0.388888889,0.4,0.1,50,980,1
80,40,3.645,34.28571429,0,16.81318675,0.302852659,40,0.225395849,0.342857143,0.5,175,1100,0
90,15,6.25,85.52915767,0,14.47084233,0.024426311,46.3,0.408384648,0.085529158,0.4,50,1100,1
100,75,50,100,0,0,0,100,0,0.25,0.25,50,825,0
60,33,25,85.52915767,0,14.47084233,0.352622458,100,0.304951422,1.702030238,1.31,175,1100,1
50,300,25,85.52915767,0,14.47084233,0.15,100,0.15,0.085529158,0,175,1100,0
50,300,25,85.52915767,0,14.47084233,0.15,100,0.15,2.56587473,0.2,175,1100,0
40,0.836984731,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,1
80,40,3.645,57.84506658,0,9.631203586,0.33,40,0.33,2.5,0.5,175,1100,0
30,10,20,100,0,0,0.25,100,0.428571429,1.5,1,88,1100,0
30,10,20,100,0,0,0.428571429,100,0.428571429,1,1,88,1100,0
30,10,20,100,0,0,0.111111111,100,0.428571429,1.5,1,88,1100,0
80,5,5,75,0,17.5,0.13,4.8,0.25,1.58,0.025,50,1100,1
90,37.15090098,4,51.42857143,0,24.59807287,0.176470588,100,0.176470588,0.462857143,0.5,175,1100,0
40,60,25,0,75.66401816,24.33598184,0.939546062,0,0.915370663,2.269920545,0.7,125,1100,0
80,9.1,5,85.52915767,0,14.47084233,0.052631579,46.7,0.428571429,1.000691145,0.1,25,1100,1
50,2,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.5,0.4,120,870,1
120,15,6.25,85.52915767,0,14.47084233,0,46.5,0.550215476,0.086718013,0.4,50,1100,0
80,250,86,0,0,0,0,68,0,0.15,0.15,175,1100,0
80,500,29.16,85.52915767,0,14.47084233,1.164343559,100,5.153302107,2.03,1.05,79.5,869.5652174,0
80,222.2528809,82.85003303,98.3,0,0,1.359309054,100,3.166666667,0.1,0.704505202,153.2730029,1100,1
80,3.333333333,25,85.52915767,0,14.47084233,0.11,46,0.35,1.462548596,0.15,125,1100,1
80,20,5,74.37742114,16.76812396,8.854454898,0,100,0,2.734366353,0.051,125,1100,1
60,270,46.628956,85.52915767,0,14.47084233,1.664678144,63.55320148,1.524590647,0.256587473,0.5,175,1100,0
60,20,5,74.37742114,16.76812396,8.854454898,0.230951622,100,0.327786126,2.734366353,3,125,1100,1
60,270,48.85327592,85.52915767,0,14.47084233,1.646253841,65.14367413,1.68144379,0.256587473,0.5,175,1100,0
25,0.176042236,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,1
60,79.57353151,25,79.37854279,2.460646234,15.82845943,1.425,46.1,0.37,1.227587835,0.4,175,1100,0
25,18.37904887,5,74.63556851,9.815354713,15.54907677,0.111111111,46.1,0.369863014,2.111273081,0.4,125,1100,0
80,7,4,0,39.10927536,22.95889891,0.299340305,40,0.472441305,1.173278261,0.6,125,1100,0
100,75,50,100,0,0,0,100,0,0.25,0.25,50,825,1
80,3,1,42.76457883,0,17.851,0.33,40,0.33,0.320734341,0.2,50,1100,1
90,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1100,0
80,20,5,74.37742114,16.76812396,8.854454898,0,20,0,2.734366353,0.2,125,1100,0
60,1,5,74.37742114,16.76812396,8.854454898,0.176470588,40,0.388888889,1.5,0.1,90,980,1
50,60,25,0,83.55,16.45,1.093165594,0,0.943999767,2.5065,0.7,125,1100,0
70,60,25,0,83.55,16.45,1.209403102,0,0.949670782,2.5065,0.7,125,1100,0
80,28.71932958,8,17.14285714,0,13.09596686,0.052631579,20,0.358124056,0.1,0.367570086,175,1100,0
60,68.38514115,25,80.2284846,4.689280639,15.08223476,1.425,46.1,0.37,1.273766479,0.4,175,1100,0
80,200.8792996,75,100,0,0,0.822986315,100,2.359664076,0.2,0.4,175,1100,0
90,15,4,85.52915767,0,14.47084233,0,46.3,0.373892784,0.224573909,0.4,50.8,1100,1
25,22.36134449,5,76.72992366,2.378541997,15.30031216,1.425,46.1,0.37,1.977711641,0.4,125,1100,0
80,40,16,85.52915767,0,14.47084233,3,7,0.33,0.9,0.25,50,1100,1
80,3.333333333,25,85.52915767,0,14.47084233,0.11,46,0.35,0.273693305,0.25,125,1100,0
80,40,1,85.52915767,0,14.47084233,0.25,60,2,1.5,0.5,50,1100,1
70,33.9902841,25,85.52915767,0,14.47084233,0.302222534,100,0.284803411,0.855291577,0.3,125,1100,1
80,219.4653072,82.68568154,94.5,0,0,1.298759141,100,3.166666667,0.1,0.703173093,158.3697046,1100,1
80,20,5,74.37742114,16.76812396,8.854454898,0,100,0,2.734366353,0.086,125,1100,1
80,5.515116088,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,1
30,10,20,20,0,0,0.428571429,100,0.428571429,0.3,1,88,1100,0
80,4,5,74.37742114,16.76812396,8.854454898,0.181193633,30,0.32487551,0.34,0.1,90,1000,1
110,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,120,901.8686384,1
80,24.50004932,25,85.52915767,0,14.47084233,0.404431954,60,0.292801158,1.881641469,0.8,175,1100,1
110,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,1
100,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,105,1219.5,1
80,25,17.64,85.52915767,0,14.47084233,0.293560947,59.00710904,0.236309593,2.25,0.8,175,1100,1
80,60,25,0,75.66401816,24.33598184,0.818160983,30,0.656443212,2.269920545,0.21,125,1100,0
80,150,7,74.37742114,16.76812396,8.854454898,0.824689587,100,7.342904561,1.458328722,4,125,1100,0
60,270,51.83117186,85.52915767,0,14.47084233,1.882657881,61.06389396,1.808704345,0.256587473,0.5,175,1100,0
80,50,4,85.52915767,0,14.47084233,0.33,40,0.33,1.282937365,0.5,50,1100,1
80,20,5,74.37742114,16.76812396,8.854454898,0,100,0,2.734366353,0.2,125,1100,1
120,15,6.25,85.52915767,0,14.47084233,0.019426246,46.3,0.403187095,0.085529158,0.4,50,1100,1
50,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,1
40,4,5,44.62645268,10.06087438,5.312672939,0.176470588,40,0.388888889,0.4,0.1,50,980,1
30,10,20,20,0,0,0.428571429,100,0.428571429,0.3,1,88,1100,0
80,3,1,64.11,0,16.02,0.20596053,40,0.340993866,0.6411,0.2,50,1100,1
100,75,50,100,0,0,0,100,0,0.5,0.25,50,825,1
30,60,25,0,75.66401816,24.33598184,1.14838301,0,0.853256179,2.269920545,0.7,125,1100,0
80,146.1316266,50,62.57142857,0,21.24655633,0.517763389,59.061825,1.501483537,1.251428571,0.4,125,1100,1
50,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.5,90,1000,1
80,3,1,85.73,0,14.27,0.180901252,40,0.395001104,0.8573,0.2,50,1100,1
90,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,120,906.4787134,1
80,5,5,75,0,16.54944357,0.040582726,46.7,0.6,2,0.35,50,1100,1
80,4,5,44.62645268,10.06087438,5.312672939,0.176470588,40,0.388888889,0.4,0.1,50,980,1
80,40,1,85.52915767,0,14.47084233,0.25,0,2,1.5,0,50,1100,0
120,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1100,0
80,75,50,100,0,0,0,100,0,0.5,0.25,125,1100,1
80,40,1,85.52915767,0,14.47084233,0.25,0,2,1.5,0,125,1100,0
60,270,48.46351845,85.52915767,0,14.47084233,2.150691132,59.34613525,1.812971149,0.256587473,0.5,175,1100,0
90,19.6163843,8,85.52915767,0,14.47084233,0.052631579,20,0.25,1.710583153,0.4,125,1100,0
40,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.5,90,1000,1
60,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,1
80,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1100,0
