,Operating Temperature (℃),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),Membrane Thickness (μm),EW,Current at 1.5 V
499,90.0,15.0,1.21,85.52915767,0.0,14.47084233,0.0,100.0,0.428571429,0.085529158,0.021,50.0,1100.0,0.11198
195,80.0,40.0,1.0,85.52915767,0.0,14.47084233,0.25,0.0,2.0,1.5,0.0,50.0,1100.0,0.02213
373,80.0,1.0,1.0,19.1,0.0,3.231565657,0.43,46.0,0.43,0.5,0.5,175.0,1100.0,0.32965
430,60.0,45.0,22.7,85.52915767,0.0,14.47084233,0.15,40.0,0.2,0.855291577,0.6,175.0,1100.0,0.0684
212,80.0,4.0,5.0,74.37742114,16.76812396,8.854454898,0.216438027,30.0,0.508048208,1.27,0.1,90.0,1000.0,0.25436
311,90.0,3.33,6.25,85.52915767,0.0,14.47084233,0.5,40.0,0.5,1.710583153,2.0,120.0,870.0,0.198
327,80.0,0.5,4.0,85.52915767,0.0,14.47084233,0.3,40.0,0.3,1.710583153,0.24,125.0,1100.0,0.256
545,60.0,270.0,44.4178097,85.52915767,0.0,14.47084233,1.589274889,63.70239129,1.46078364,0.256587473,0.5,175.0,1100.0,0.06107
104,80.0,1.0,5.0,74.37742114,16.76812396,8.854454898,0.176470588,40.0,0.388888889,0.4,0.1,90.0,980.0,0.20937
394,110.0,2.0,5.0,85.52915767,0.0,14.47084233,0.5,30.0,0.5,4.276457883,0.8,120.0,901.8686384,0.34698
504,80.0,20.0,5.0,74.37742114,16.76812396,8.854454898,0.0,100.0,0.0,2.734366353,0.1,125.0,1100.0,0.2495
443,50.0,4.0,5.0,74.37742114,16.76812396,8.854454898,0.2,30.0,0.3,1.367183177,0.5,90.0,1000.0,0.13808
369,80.0,60.0,25.0,0.0,75.66401816,24.33598184,1.370227109,0.0,1.32614018,2.269920545,0.7,125.0,1100.0,0.11572
232,80.0,201.9482085,50.0,85.52915767,0.0,14.47084233,0.859194778,100.0,4.55949173,4.0,4.0,254.0,1100.0,0.01673
357,80.0,3.333333333,25.0,85.52915767,0.0,14.47084233,0.11,46.0,0.35,0.607257019,0.25,125.0,1100.0,0.21845
346,60.0,51.01669281,25.0,80.2284846,4.689280639,15.08223476,1.425,46.1,0.37,1.273766479,0.4,125.0,1100.0,0.05484
177,80.0,60.0,25.0,0.0,75.66401816,24.33598184,1.153445715,0.0,0.960814465,2.269920545,0.7,125.0,1100.0,0.013708
41,40.0,100.0,5.29,100.0,0.0,0.0,4.545454545,100.0,3.0,0.55,0.5,175.0,1100.0,0.0679372
265,40.0,60.0,25.0,0.0,83.55,16.45,1.113637403,0.0,0.880169355,2.5065,0.7,125.0,1100.0,0.0076
473,80.0,40.0,3.645,85.52915767,0.0,14.47084233,0.402491773,40.0,0.457914718,2.138228942,0.5,175.0,1100.0,0.15264
