"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"AA","AA",4.38416666666667,143,"AA:AA",2.235
"AA","AL",4.60954301075269,111,"AL:AA",2.235
"AA","CL",4.21561827956989,129,"CL:AA",2.235
"AA","EW",4.68763440860215,78,"EW:AA",2.235
"AA","FR",4.62661290322581,125,"FR:AA",2.235
"AA","ICA",4.68067204301075,137,"ICA:AA",2.235
"AA","ICC",4.84236559139785,92,"ICC:AA",2.235
"AA","IR",4.80725806451613,107,"IR:AA",2.235
"AA","MT",4.24279569892473,127,"MT:AA",2.235
"AA","O",4.9402688172043,100,"O:AA",2.235
"AA","OT",2.67822580645161,172,"OT:AA",2.235
"AA","PT",4.85258064516129,103,"PT:AA",2.235
"AA","RU",4.98321598166039,92,"RU:AA",2.235
"AL","AA",3.15091397849462,164,"AA:AL",2.81
"AL","AL",3.60887096774194,136,"AL:AL",2.81
"AL","CL",3.68809139784946,137,"CL:AL",2.81
"AL","EW",3.90174731182796,109,"EW:AL",2.81
"AL","FR",3.13521505376344,153,"FR:AL",2.81
"AL","ICA",2.83279569892473,166,"ICA:AL",2.81
"AL","ICC",3.40881720430108,129,"ICC:AL",2.81
"AL","IR",3.70967741935484,126,"IR:AL",2.81
"AL","MT",3.61591397849462,142,"MT:AL",2.81
"AL","O",3.93680107526882,123,"O:AL",2.81
"AL","OT",1.93938172043011,185,"OT:AL",2.81
"AL","PT",3.38989247311828,134,"PT:AL",2.81
"AL","RU",3.97778505540091,117,"RU:AL",2.81
"CL","AA",3.7935752688172,153,"AA:CL",2.845
"CL","AL",3.85591397849462,122,"AL:CL",2.845
"CL","CL",4.17403225806452,128,"CL:CL",2.845
"CL","EW",4.32849462365591,94,"EW:CL",2.845
"CL","FR",4.04623655913978,134,"FR:CL",2.845
"CL","ICA",3.81612903225806,146,"ICA:CL",2.845
"CL","ICC",4.09741935483871,115,"ICC:CL",2.845
"CL","IR",4.30349462365591,109,"IR:CL",2.845
"CL","MT",3.96451612903226,126,"MT:CL",2.845
"CL","O",4.69462365591398,106,"O:CL",2.845
"CL","OT",2.2760752688172,180,"OT:CL",2.845
"CL","PT",4.01204301075269,112,"PT:CL",2.845
"CL","RU",4.53998144206102,96,"RU:CL",2.845
"EW","AA",6.36045698924731,129,"AA:EW",5.165
"EW","AL",6.53064516129032,62,"AL:EW",5.165
"EW","CL",6.1416935483871,79,"CL:EW",5.165
"EW","EW",4.8505376344086,82,"EW:EW",5.165
"EW","FR",6.44596774193548,97,"FR:EW",5.165
"EW","ICA",7.58212365591398,91,"ICA:EW",5.165
"EW","ICC",6.06494623655914,72,"ICC:EW",5.165
"EW","IR",6.02661290322581,79,"IR:EW",5.165
"EW","MT",6.13247311827957,100,"MT:EW",5.165
"EW","O",6.33268817204301,74,"O:EW",5.165
"EW","OT",5.30994623655914,152,"OT:EW",5.165
"EW","PT",5.82387096774194,62,"PT:EW",5.165
"EW","RU",6.00996124665684,56,"RU:EW",5.165
"FR","AA",4.07881720430108,150,"AA:FR",2.61
"FR","AL",4.16693548387097,120,"AL:FR",2.61
"FR","CL",4.0747311827957,126,"CL:FR",2.61
"FR","EW",4.09274193548387,96,"EW:FR",2.61
"FR","FR",3.525,143,"FR:FR",2.61
"FR","ICA",4.11529569892473,145,"ICA:FR",2.61
"FR","ICC",4.19268817204301,114,"ICC:FR",2.61
"FR","IR",4.29596774193548,113,"IR:FR",2.61
"FR","MT",4.2494623655914,126,"MT:FR",2.61
"FR","O",3.96677419354839,118,"O:FR",2.61
"FR","OT",2.10161290322581,182,"OT:FR",2.61
"FR","PT",3.85172043010753,119,"PT:FR",2.61
"FR","RU",4.00016374652039,111,"RU:FR",2.61
"ICA","AA",2.18596774193548,172,"AA:ICA",2.115
"ICA","AL",2.85483870967742,146,"AL:ICA",2.115
"ICA","CL",3.27346774193548,145,"CL:ICA",2.115
"ICA","EW",4.02069892473118,104,"EW:ICA",2.115
"ICA","FR",2.88978494623656,156,"FR:ICA",2.115
"ICA","ICA",2.69336021505376,169,"ICA:ICA",2.115
"ICA","ICC",3.18430107526882,137,"ICC:ICA",2.115
"ICA","IR",3.34811827956989,131,"IR:ICA",2.115
"ICA","MT",3.31354838709677,143,"MT:ICA",2.115
"ICA","O",3.11922043010753,141,"O:ICA",2.115
"ICA","OT",1.66129032258065,186,"OT:ICA",2.115
"ICA","PT",2.90021505376344,142,"PT:ICA",2.115
"ICA","RU",3.46272037552535,122,"RU:ICA",2.115
"ICC","AA",3.22110215053763,161,"AA:ICC",2.865
"ICC","AL",3.24489247311828,140,"AL:ICC",2.865
"ICC","CL",3.39887096774194,140,"CL:ICC",2.865
"ICC","EW",3.78575268817204,108,"EW:ICC",2.865
"ICC","FR",3.02069892473118,159,"FR:ICC",2.865
"ICC","ICA",3.08860215053763,162,"ICA:ICC",2.865
"ICC","ICC",3.55784946236559,128,"ICC:ICC",2.865
"ICC","IR",4.07715053763441,115,"IR:ICC",2.865
"ICC","MT",3.60774193548387,140,"MT:ICC",2.865
"ICC","O",3.37623655913979,134,"O:ICC",2.865
"ICC","OT",2.06397849462366,182,"OT:ICC",2.865
"ICC","PT",3.76268817204301,125,"PT:ICC",2.865
"ICC","RU",4.11156596255663,109,"RU:ICC",2.865
"IR","AA",4.84284946236559,144,"AA:IR",3.635
"IR","AL",5.31478494623656,100,"AL:IR",3.635
"IR","CL",5.19209677419355,104,"CL:IR",3.635
"IR","EW",5.29422043010753,69,"EW:IR",3.635
"IR","FR",5.11048387096774,125,"FR:IR",3.635
"IR","ICA",6.02110215053763,121,"ICA:IR",3.635
"IR","ICC",5.0658064516129,94,"ICC:IR",3.635
"IR","IR",5.15725806451613,101,"IR:IR",3.635
"IR","MT",5.26086021505376,113,"MT:IR",3.635
"IR","O",5.32013440860215,103,"O:IR",3.635
"IR","OT",3.85604838709677,165,"OT:IR",3.635
"IR","PT",5.02784946236559,93,"PT:IR",3.635
"IR","RU",5.25934719720539,91,"RU:IR",3.635
"MT","AA",4.48940860215054,148,"AA:MT",3.03
"MT","AL",4.73279569892473,110,"AL:MT",3.03
"MT","CL",4.80215053763441,106,"CL:MT",3.03
"MT","EW",4.9263440860215,70,"EW:MT",3.03
"MT","FR",4.90134408602151,123,"FR:MT",3.03
"MT","ICA",5.30137096774193,127,"ICA:MT",3.03
"MT","ICC",4.88365591397849,98,"ICC:MT",3.03
"MT","IR",5.10564516129032,97,"IR:MT",3.03
"MT","MT",5.58215053763441,114,"MT:MT",3.03
"MT","O",5.11706989247312,101,"O:MT",3.03
"MT","OT",3.42258064516129,170,"OT:MT",3.03
"MT","PT",4.62677419354839,103,"PT:MT",3.03
"MT","RU",5.18151301784837,84,"RU:MT",3.03
"O","AA",4.54147849462366,147,"AA:O",3.505
"O","AL",5.02029569892473,103,"AL:O",3.505
"O","CL",4.84056451612903,113,"CL:O",3.505
"O","EW",5.10456989247312,72,"EW:O",3.505
"O","FR",5.27741935483871,114,"FR:O",3.505
"O","ICA",5.14997311827957,135,"ICA:O",3.505
"O","ICC",4.82408602150538,112,"ICC:O",3.505
"O","IR",5.33360215053763,93,"IR:O",3.505
"O","MT",5.29032258064516,111,"MT:O",3.505
"O","O",5.47147849462366,93,"O:O",3.505
"O","OT",3.46948924731183,169,"OT:O",3.505
"O","PT",4.81956989247312,92,"PT:O",3.505
"O","RU",4.86856612630315,104,"RU:O",3.505
"OT","AA",3.02556451612903,163,"AA:OT",1.425
"OT","AL",3.4877688172043,129,"AL:OT",1.425
"OT","CL",3.67766129032258,133,"CL:OT",1.425
"OT","EW",3.1638440860215,119,"EW:OT",1.425
"OT","FR",3.51182795698925,142,"FR:OT",1.425
"OT","ICA",3.01368279569892,165,"ICA:OT",1.425
"OT","ICC",3.46774193548387,136,"ICC:OT",1.425
"OT","IR",4.25672043010753,111,"IR:OT",1.425
"OT","MT",3.54301075268817,136,"MT:OT",1.425
"OT","O",3.92975806451613,117,"O:OT",1.425
"OT","OT",1.92661290322581,180,"OT:OT",1.425
"OT","PT",3.74139784946237,121,"PT:OT",1.425
"OT","RU",3.78767534523225,118,"RU:OT",1.425
"PT","AA",3.65688172043011,158,"AA:PT",3.35
"PT","AL",4.55537634408602,110,"AL:PT",3.35
"PT","CL",4.57790322580645,120,"CL:PT",3.35
"PT","EW",4.44744623655914,89,"EW:PT",3.35
"PT","FR",4.35322580645161,132,"FR:PT",3.35
"PT","ICA",4.23236559139785,150,"ICA:PT",3.35
"PT","ICC",4.84043010752688,105,"ICC:PT",3.35
"PT","IR",4.52688172043011,106,"IR:PT",3.35
"PT","MT",4.24430107526882,130,"MT:PT",3.35
"PT","O",4.31376344086021,122,"O:PT",3.35
"PT","OT",2.76236559139785,178,"OT:PT",3.35
"PT","PT",4.69290322580645,98,"PT:PT",3.35
"PT","RU",4.60018557938977,101,"RU:PT",3.35
"RU","AA",6.39389784946237,117,"AA:RU",4.431625
"RU","AL",5.56518817204301,81,"AL:RU",4.431625
"RU","CL",6.15102150537635,80,"CL:RU",4.431625
"RU","EW",5.61263440860215,52,"EW:RU",4.431625
"RU","FR",5.71854838709677,103,"FR:RU",4.431625
"RU","ICA",6.14370967741935,112,"ICA:RU",4.431625
"RU","ICC",5.68129032258065,85,"ICC:RU",4.431625
"RU","IR",6.09247311827957,74,"IR:RU",4.431625
"RU","MT",6.25849462365591,94,"MT:RU",4.431625
"RU","O",5.89163978494624,83,"O:RU",4.431625
"RU","OT",5.01572580645161,153,"OT:RU",4.431625
"RU","PT",6.05150537634409,53,"PT:RU",4.431625
"RU","RU",6.16137219584084,50,"RU:RU",4.431625
