OT,FR,AA,IR,RU,O,ICA,PT,ICC,AL,CL,MT,EW,CD17
60,270,48.70743937,85.52915767,0,14.47084233,1.81430178,66.99913458,1.664700164,0.256587473,0.5,175,1100,0.64803
80,6,1,100,0,0,0.281309906,20,0.550190187,2,0.5,125,1100,0.91764
80,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.5,90,1000,1.86848
90,15,4,85.52915767,0,14.47084233,0,46.3,0.361993039,0.04663905,0.4,50.8,1100,1.26506
40,1,5,74.37742114,16.76812396,8.854454898,0.176470588,40,0.388888889,1.5,0.1,90,980,0.99737
80,6,1,100,0,0,0.197204645,0,1.096392145,2,0,125,1100,0.16493
30,10,20,100,0,0,0.667,100,0.428571429,1.5,1,88,1100,0.20251
80,50,25,85.73,0,14.27,0.33,60,0.25,0.025,0.8,175,1100,1.014
55,172.8442295,120,100,0,0,0.635637283,100,4.227462648,1,0.9,125,1100,0.64728
80,1,1,19.1,0,3.231565657,0.43,46,0.43,0.5,0.5,175,1100,1.26408
80,5,5,75,0,16.78919732,0.131221719,46.7,0.6,2,0.35,50,1100,1.68567
60,100,5.29,100,0,0,0.909090909,100,3,0.55,0.5,175,1100,0.31697995
80,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,105,1031,1.487
50,100,5.29,100,0,0,4.545454545,100,3,0.55,0.5,175,1100,0.57725573
60,50,25,85.52915767,0,14.47084233,0.311112088,100,0.146421,2.5,0.8,175,1100,0.751
80,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,105,1219.5,1.415
25,0.176042236,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,0.76589
27.5,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,0.25
120,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,120,901.0009666,1.22374
80,40,2.89,85.52915767,0,14.47084233,0.331638452,40,0.53927078,0.27,0.5,175,1100,1.03074
45,10,20,100,0,0,0.667,100,0.428571429,1.5,1,88,1100,0.60495
90,14.02002948,2.64287184,100,0,0,0.333017398,30,0.579518935,2.4,0.6,124.1586196,1100,0.77766
25,25.24166274,5,80.2284846,4.689280639,15.08223476,1.425,46.1,0.37,2.122944131,0.4,125,1100,0.24353
25,1,15.84755052,100,0,0,0.455737797,100,0.409580409,2.2,0.8,175,1100,0.11001
80,1,5,74.37742114,16.76812396,8.854454898,0.176470588,40,0.388888889,0.4,0.1,90,980,1.4811
60,270,48.85327592,85.52915767,0,14.47084233,1.646253841,65.14367413,1.68144379,0.256587473,0.5,175,1100,0.52008
50,300,25,85.52915767,0,14.47084233,0.15,100,0.15,2.56587473,0.2,175,1100,0.65941
70,4,6.299615628,40,0,21.97791598,0.5,30,0.5,0.4,1,125,1100,0.26402
80,50,4,85.52915767,0,14.47084233,0.052631579,20,0.428571429,0.38,0.2,50,1100,2.77813
110,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,70,206.185567,1.257
80,4.819154086,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,2.20812
60,270,56.10548285,85.52915767,0,14.47084233,1.467094912,65.07818298,1.56248354,0.256587473,0.5,175,1100,0.74459
80,10.30096611,5,85.52915767,0,14.47084233,0.25,40,0.5,0.4,0.1,90,980,1.66061
90,15,4,85.52915767,0,14.47084233,0.095239255,46,0.36631045,0.085529158,0.4,50,1100,1.53636
60,270,46.72177337,85.52915767,0,14.47084233,1.760277361,66.92663957,1.478754654,0.256587473,0.5,175,1100,0.6718
90,126.352113,8,85.52915767,0,14.47084233,0.052631579,40,21.875,1.710583153,0.96,125,1100,0.83655
60,5.88203717,5,100,0,0,0.25,40,0.5,0.4,0.1,90,980,0.57511
40,60,25,0,75.66401816,24.33598184,1.176955273,0,0.869597036,2.269920545,0.7,125,1100,0.25958
25,50,4,85.52915767,0,14.47084233,0.052631579,20,0.428571429,0.38,0.2,50,1100,0.86245
80,4,5,44.62645268,10.06087438,5.312672939,0.176470588,40,0.388888889,0.4,0.1,50,980,2.02041
40,60,25,0,83.55,16.45,1.113637403,0,0.880169355,2.5065,0.7,125,1100,0.131
80,40,3.645,68.57142857,0,15.12820511,1.394017747,40,1.599086947,0.685714286,0.5,175,1100,0.55982
110,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1100,0.50189
80,40,3.645,57.81239854,0,9.625764357,0.33,40,0.33,2.5,0.5,175,1100,0.369
60,33.90006521,25,85.52915767,0,14.47084233,0.283335103,100,0.431226105,0.855291577,0.3,125,1100,0.83257
80,75,50,100,0,0,0,100,0,0.5,0.25,125,1100,1.52595
90,19.87949333,6.397091281,100,0,0,0.612525952,0,0.883526064,2.4,0,113.5778551,1100,1.16915
70,3.634025044,5,100,0,0,0.25,40,0.5,0.4,0.1,90,980,0.65478
80,9.1,5,85.52915767,0,14.47084233,0.052631579,46.7,0.428571429,1.000691145,0.1,25,1100,2.04533
90,2,5,85.52915767,0,14.47084233,0.5,50,0.5,2,0.3,120,870,1.942
80,170.4751056,37.70187597,85.52915767,0,14.47084233,5,20,2.305975152,0.085529158,0.708260779,175,1100,0.87400062
80,7.813710338,1,77.1429,0,14.9804,0.176470588,20,0.176470588,1.542858,0.5,125,1100,0.88494
80,0.5,4,74.37742114,16.76812396,8.854454898,0.3,40,0.3,2.734366353,1.2,125,1100,1.221
80,40,1,85.52915767,0,14.47084233,0.25,0,2,1.5,0,125,1100,0.02545
60,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,0.529
90,16.06912344,7,100,0,0,0.367998738,40,0.690019981,2,0.8,125,1100,0.90539
120,15,6.25,85.52915767,0,14.47084233,0.045069975,46.3,0.417307997,0.085529158,0.4,50,1100,3.284
80,32.01683061,4,85.52915767,0,14.47084233,0.3333,70,0.3333,0.063377106,0.7,50,1100,1.73928
80,300,25,85.52915767,0,14.47084233,0.27,47,0.2385,0.1,0.1,175,1100,1.28563
80,20,5,74.37742114,16.76812396,8.854454898,0,100,0,2.734366353,0.193,125,1100,1.12857
120,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1100,0.27353
100,3.33,6.25,84.5,0,15.5,0.24,44.70119726,0.428571429,1.69,2,125,1100,1.53539
40,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,0.99251
70,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,0.36458218,0.1,90,1000,1.39698
70,2,5,85.52915767,0,14.47084233,0.5,50,0.5,2,0.3,120,870,1.397
80,22.51090936,8,85.52915767,0,14.47084233,0.052631579,20,0.326732579,0.846738661,0.279104095,50,1100,1.92204
80,3,1,85.73,0,14.27,0.151776541,40,0.362015213,0.642975,0.2,50,1100,2.11586
80,40,1,85.52915767,0,14.47084233,0.25,60,2,1.5,0.5,125,1100,0.78615
80,3.333333333,25,85.52915767,0,14.47084233,0.11,46,0.35,0.196717063,0.25,125,1100,0.6211
70,60,25,0,83.55,16.45,1.209403102,0,0.949670782,2.5065,0.7,125,1100,0.2
40,100,5.29,100,0,0,0.909090909,100,3,0.55,0.5,175,1100,0.23577379
60,44.82585946,25,79.37854279,2.460646234,15.82845943,1.425,46.1,0.37,1.227587835,0.4,175,1100,0.53021
80,50,5,85.52915767,0,14.47084233,0.33,70,0.33,1.282937365,0.57,125,1100,1.48715
60,37.49612841,5,85.52915767,0,14.47084233,0.725839461,100,0.586807681,1.710583153,2,175,1100,0.82167
80,5,5,75,0,17.5,0.13,45.8,0.25,1.62,0.3,50,1100,2.59793
80,300,25,85.52915767,0,14.47084233,0.05,47,0.2385,0.1,0.1,175,1100,1.14064
80,4,5,74.37742114,16.76812396,8.854454898,0.188042222,30,0.329494887,0.34,0.1,90,1000,1.58295
