"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"AA","AA",4.92939473684211,89,"AA:AA",3.39
"AA","AL",4.44778947368421,94,"AL:AA",3.39
"AA","CL",4.4438947368421,138,"CL:AA",3.39
"AA","EW",5.049,103,"EW:AA",3.39
"AA","FR",4.57239473684211,101,"FR:AA",3.39
"AA","ICA",4.62986842105263,135,"ICA:AA",3.39
"AA","ICC",4.48986842105263,135,"ICC:AA",3.39
"AA","IR",4.85463157894737,106,"IR:AA",3.39
"AA","MT",2.73305263157895,182,"MT:AA",3.39
"AA","O",4.70147368421053,111,"O:AA",3.39
"AA","OT",4.22,150,"OT:AA",3.39
"AA","PT",4.90928947368421,93,"PT:AA",3.39
"AA","RU",4.71525241675618,79,"RU:AA",3.39
"AL","AA",3.73568421052632,122,"AA:AL",3.115
"AL","AL",3.81105263157895,120,"AL:AL",3.115
"AL","CL",3.68842105263158,150,"CL:AL",3.115
"AL","EW",4.00236842105263,125,"EW:AL",3.115
"AL","FR",3.4573947368421,131,"FR:AL",3.115
"AL","ICA",2.80818421052632,167,"ICA:AL",3.115
"AL","ICC",3.44092105263158,155,"ICC:AL",3.115
"AL","IR",3.59342105263158,140,"IR:AL",3.115
"AL","MT",1.97368421052632,190,"MT:AL",3.115
"AL","O",3.58778947368421,141,"O:AL",3.115
"AL","OT",2.66584210526316,177,"OT:AL",3.115
"AL","PT",3.75621052631579,126,"PT:AL",3.115
"AL","RU",3.63823845327605,116,"RU:AL",3.115
"CL","AA",4.44373684210526,104,"AA:CL",2.31
"CL","AL",4.32473684210526,100,"AL:CL",2.31
"CL","CL",4.36697368421053,135,"CL:CL",2.31
"CL","EW",4.51310526315789,117,"EW:CL",2.31
"CL","FR",4.31273684210526,114,"FR:CL",2.31
"CL","ICA",4.05697368421053,145,"ICA:CL",2.31
"CL","ICC",4.31760526315789,137,"ICC:CL",2.31
"CL","IR",4.33294736842105,122,"IR:CL",2.31
"CL","MT",2.34978947368421,184,"MT:CL",2.31
"CL","O",4.31115789473684,124,"O:CL",2.31
"CL","OT",3.45031578947368,162,"OT:CL",2.31
"CL","PT",3.97834210526316,117,"PT:CL",2.31
"CL","RU",4.32416756176155,89,"RU:CL",2.31
"EW","AA",5.91873684210526,54,"AA:EW",3.48
"EW","AL",5.55268421052632,53,"AL:EW",3.48
"EW","CL",5.97036842105263,104,"CL:EW",3.48
"EW","EW",5.58489473684211,89,"EW:EW",3.48
"EW","FR",5.84231578947368,78,"FR:EW",3.48
"EW","ICA",5.64560526315789,121,"ICA:EW",3.48
"EW","ICC",5.90205263157895,104,"ICC:EW",3.48
"EW","IR",5.89081578947368,81,"IR:EW",3.48
"EW","MT",4.78363157894737,161,"MT:EW",3.48
"EW","O",5.64021052631579,88,"O:EW",3.48
"EW","OT",4.93036842105263,139,"OT:EW",3.48
"EW","PT",5.81886842105263,57,"PT:EW",3.48
"EW","RU",5.08936627282492,60,"RU:EW",3.48
"FR","AA",4.18405263157895,108,"AA:FR",3.01
"FR","AL",4.03184210526316,105,"AL:FR",3.01
"FR","CL",4.186,138,"CL:FR",3.01
"FR","EW",4.49273684210526,116,"EW:FR",3.01
"FR","FR",4.31286842105263,119,"FR:FR",3.01
"FR","ICA",3.54197368421053,155,"ICA:FR",3.01
"FR","ICC",3.78644736842105,145,"ICC:FR",3.01
"FR","IR",4.36876315789474,123,"IR:FR",3.01
"FR","MT",2.1,190,"MT:FR",3.01
"FR","O",3.90336842105263,138,"O:FR",3.01
"FR","OT",3.14563157894737,169,"OT:FR",3.01
"FR","PT",4.22957894736842,114,"PT:FR",3.01
"FR","RU",4.2046186895811,96,"RU:FR",3.01
"ICA","AA",3.28473684210526,130,"AA:ICA",2.015
"ICA","AL",3.50152631578947,117,"AL:ICA",2.015
"ICA","CL",3.49044736842105,147,"CL:ICA",2.015
"ICA","EW",3.79184210526316,125,"EW:ICA",2.015
"ICA","FR",3.81205263157895,128,"FR:ICA",2.015
"ICA","ICA",2.70518421052632,169,"ICA:ICA",2.015
"ICA","ICC",3.22897368421053,153,"ICC:ICA",2.015
"ICA","IR",3.14413157894737,147,"IR:ICA",2.015
"ICA","MT",1.48015789473684,187,"MT:ICA",2.015
"ICA","O",3.09031578947368,152,"O:ICA",2.015
"ICA","OT",2.47963157894737,171,"OT:ICA",2.015
"ICA","PT",3.73634210526316,121,"PT:ICA",2.015
"ICA","RU",3.42610096670247,126,"RU:ICA",2.015
"ICC","AA",3.65584210526316,124,"AA:ICC",2.455
"ICC","AL",3.84889473684211,117,"AL:ICC",2.455
"ICC","CL",3.84402631578947,143,"CL:ICC",2.455
"ICC","EW",4.109,123,"EW:ICC",2.455
"ICC","FR",3.61960526315789,135,"FR:ICC",2.455
"ICC","ICA",3.26378947368421,158,"ICA:ICC",2.455
"ICC","ICC",3.63139473684211,149,"ICC:ICC",2.455
"ICC","IR",3.53128947368421,139,"IR:ICC",2.455
"ICC","MT",1.45694736842105,188,"MT:ICC",2.455
"ICC","O",3.52842105263158,145,"O:ICC",2.455
"ICC","OT",2.628,174,"OT:ICC",2.455
"ICC","PT",3.83892105263158,119,"PT:ICC",2.455
"ICC","RU",4.00612244897959,103,"RU:ICC",2.455
"IR","AA",4.61136842105263,94,"AA:IR",3.165
"IR","AL",4.78094736842105,84,"AL:IR",3.165
"IR","CL",4.90881578947368,125,"CL:IR",3.165
"IR","EW",5.30047368421053,97,"EW:IR",3.165
"IR","FR",4.85026315789474,100,"FR:IR",3.165
"IR","ICA",4.2765,139,"ICA:IR",3.165
"IR","ICC",4.73397368421053,123,"ICC:IR",3.165
"IR","IR",5.40905263157895,94,"IR:IR",3.165
"IR","MT",3.22184210526316,175,"MT:IR",3.165
"IR","O",5.16063157894737,104,"O:IR",3.165
"IR","OT",4.21089473684211,149,"OT:IR",3.165
"IR","PT",4.87910526315789,96,"PT:IR",3.165
"IR","RU",4.99484425349087,75,"RU:IR",3.165
"MT","AA",4.94652631578947,86,"AA:MT",1.28
"MT","AL",4.5781052631579,82,"AL:MT",1.28
"MT","CL",4.54565789473684,125,"CL:MT",1.28
"MT","EW",5.47436842105263,89,"EW:MT",1.28
"MT","FR",5.23528947368421,91,"FR:MT",1.28
"MT","ICA",4.78247368421053,128,"ICA:MT",1.28
"MT","ICC",4.92636842105263,116,"ICC:MT",1.28
"MT","IR",5.50276315789474,95,"IR:MT",1.28
"MT","MT",4.24531578947368,169,"MT:MT",1.28
"MT","O",5.51473684210526,100,"O:MT",1.28
"MT","OT",4.13721052631579,149,"OT:MT",1.28
"MT","PT",5.19855263157895,85,"PT:MT",1.28
"MT","RU",4.95649838882922,68,"RU:MT",1.28
"O","AA",4.4425,95,"AA:O",3.145
"O","AL",4.48605263157895,95,"AL:O",3.145
"O","CL",4.34915789473684,138,"CL:O",3.145
"O","EW",4.81536842105263,106,"EW:O",3.145
"O","FR",4.75984210526316,104,"FR:O",3.145
"O","ICA",3.757,152,"ICA:O",3.145
"O","ICC",4.78994736842105,124,"ICC:O",3.145
"O","IR",4.76528947368421,111,"IR:O",3.145
"O","MT",2.45721052631579,183,"MT:O",3.145
"O","O",5.01705263157895,108,"O:O",3.145
"O","OT",3.61431578947368,154,"OT:O",3.145
"O","PT",4.53968421052632,98,"PT:O",3.145
"O","RU",4.72266380236305,82,"RU:O",3.145
"OT","AA",3.52471052631579,123,"AA:OT",1.85
"OT","AL",3.07689473684211,133,"AL:OT",1.85
"OT","CL",3.26844736842105,151,"CL:OT",1.85
"OT","EW",3.17905263157895,136,"EW:OT",1.85
"OT","FR",3.13971052631579,139,"FR:OT",1.85
"OT","ICA",2.57810526315789,166,"ICA:OT",1.85
"OT","ICC",2.74660526315789,163,"ICC:OT",1.85
"OT","IR",3.28289473684211,140,"IR:OT",1.85
"OT","MT",1.47057894736842,189,"MT:OT",1.85
"OT","O",3.41621052631579,146,"O:OT",1.85
"OT","OT",2.35247368421053,179,"OT:OT",1.85
"OT","PT",3.61013157894737,125,"PT:OT",1.85
"OT","RU",3.16047261009667,125,"RU:OT",1.85
"PT","AA",4.6995,97,"AA:PT",3.335
"PT","AL",4.50852631578947,96,"AL:PT",3.335
"PT","CL",4.59423684210526,131,"CL:PT",3.335
"PT","EW",5.28515789473684,104,"EW:PT",3.335
"PT","FR",4.83784210526316,108,"FR:PT",3.335
"PT","ICA",3.963,148,"ICA:PT",3.335
"PT","ICC",4.41334210526316,131,"ICC:PT",3.335
"PT","IR",4.74757894736842,118,"IR:PT",3.335
"PT","MT",2.59094736842105,182,"MT:PT",3.335
"PT","O",4.35536842105263,129,"O:PT",3.335
"PT","OT",3.87178947368421,158,"OT:PT",3.335
"PT","PT",4.95139473684211,93,"PT:PT",3.335
"PT","RU",4.64092373791622,83,"RU:PT",3.335
"RU","AA",5.97707894736842,53,"AA:RU",4.3035
"RU","AL",5.41668421052632,61,"AL:RU",4.3035
"RU","CL",6.33136842105263,102,"CL:RU",4.3035
"RU","EW",6.33015789473684,69,"EW:RU",4.3035
"RU","FR",5.90318421052632,71,"FR:RU",4.3035
"RU","ICA",6.21021052631579,106,"ICA:RU",4.3035
"RU","ICC",6.87355263157895,75,"ICC:RU",4.3035
"RU","IR",6.55344736842105,61,"IR:RU",4.3035
"RU","MT",5.282,152,"MT:RU",4.3035
"RU","O",6.45094736842105,66,"O:RU",4.3035
"RU","OT",6.17457894736842,119,"OT:RU",4.3035
"RU","PT",5.94647368421053,56,"PT:RU",4.3035
"RU","RU",5.71922663802363,38,"RU:RU",4.3035
