,Operating Temperature (℃),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),Membrane Thickness (μm),EW,Current at 1.6 V
534,60.0,270.0,45.54812639,85.52915767,0.0,14.47084233,2.073970786,61.07115408,1.791124577,0.256587473,0.5,175.0,1100.0,0.30516
516,80.0,22.51090936,8.0,85.52915767,0.0,14.47084233,0.052631579,20.0,0.326732579,0.846738661,0.279104095,50.0,1100.0,1.12802
178,70.0,60.0,25.0,0.0,75.66401816,24.33598184,1.125104047,0.0,0.976247596,2.269920545,0.7,125.0,1100.0,0.06549
500,80.0,40.84253457,25.0,74.37742114,16.76812396,8.854454898,0.43,40.0,0.33,0.911455451,0.4,50.0,1100.0,0.39158
136,70.0,73.67296446,25.0,85.52915767,0.0,14.47084233,0.326579634,100.0,0.303370427,0.855291577,0.3,175.0,1100.0,0.4421
109,40.0,1.0,5.0,74.37742114,16.76812396,8.854454898,0.176470588,40.0,0.388888889,1.5,0.1,90.0,980.0,0.44648
505,80.0,20.0,5.0,74.37742114,16.76812396,8.854454898,0.0,100.0,0.0,2.734366353,3.0,125.0,1100.0,0.51489
365,40.0,60.0,25.0,0.0,75.66401816,24.33598184,1.176955273,0.0,0.869597036,2.269920545,0.7,125.0,1100.0,0.13648
422,90.0,15.0,4.0,85.52915767,0.0,14.47084233,0.0,46.3,0.37254426,0.085546263,0.4,50.8,1100.0,1.0169
132,80.0,3.0,1.0,38.48805,0.0,17.7521,0.111111111,40.0,0.333,0.288660375,0.2,50.0,1100.780395,2.01987186
331,100.0,4.0,5.0,74.37742114,16.76812396,8.854454898,0.25,30.0,0.5,1.367183177,0.5,105.0,1031.0,1.208
128,80.0,3.0,1.0,38.48805,0.0,17.7521,0.142857143,40.0,0.333,0.288660375,0.2,50.0,1100.0,0.9168177
577,80.0,117.0671074,50.0,100.0,0.0,0.0,0.451623962,89.32674769,1.792451155,2.0,0.4,125.0,1100.0,0.73887
402,80.0,2.0,5.14045926,85.52915767,0.0,14.47084233,0.5,30.0,0.5,4.276457883,0.8,125.0,1092.791857,0.52445
561,25.0,18.07778353,5.0,68.32740214,15.40416878,16.26842908,0.111111111,46.1,0.369863014,2.093289273,0.4,125.0,1100.0,0.07857
469,100.0,3.33,6.25,84.5,0.0,15.5,0.24,44.70119726,0.428571429,1.69,2.0,125.0,1100.0,0.9009
311,90.0,3.33,6.25,85.52915767,0.0,14.47084233,0.5,40.0,0.5,1.710583153,2.0,120.0,870.0,0.972
197,80.0,40.0,1.0,85.52915767,0.0,14.47084233,0.25,60.0,2.0,1.5,0.5,50.0,1100.0,0.60025
51,80.0,50.0,4.0,85.52915767,0.0,14.47084233,0.33,40.0,0.33,1.710583153,0.5,50.0,1100.0,1.24587
503,80.0,20.0,5.0,74.37742114,16.76812396,8.854454898,0.0,100.0,0.0,2.734366353,0.2,125.0,1100.0,0.81691
72,30.0,10.0,20.0,20.0,0.0,0.0,0.428571429,100.0,0.428571429,0.3,1.0,88.0,1100.0,0.22797
318,80.0,3.33,6.25,85.52915767,0.0,14.47084233,0.5,40.0,0.5,1.710583153,2.0,120.0,870.0,0.414
454,90.0,4.0,5.0,74.37742114,16.76812396,8.854454898,0.2,30.0,0.3,1.367183177,0.1,90.0,1000.0,1.299
