iter	Passed	Remaining
0	2	102
1	3	78
2	4	73
3	6	69
4	7	66
5	8	64
6	10	62
7	11	60
8	13	61
9	14	59
10	15	55
11	17	53
12	18	52
13	19	50
14	21	49
15	22	47
16	23	46
17	25	44
18	26	43
19	27	41
20	29	40
21	30	39
22	32	38
23	34	37
24	35	35
25	37	34
26	38	32
27	40	31
28	42	30
29	43	29
30	44	27
31	45	25
32	46	24
33	48	22
34	49	21
35	50	19
36	52	18
37	53	16
38	54	15
39	56	14
40	57	12
41	58	11
42	60	9
43	61	8
44	63	7
45	64	5
46	66	4
47	67	2
48	68	1
49	70	0
