"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"AA","AA",5.12773622047244,228,"AA:AA",2.94
"AA","AL",4.72656167979003,209,"AL:AA",2.94
"AA","CL",4.4238845144357,272,"CL:AA",2.94
"AA","EW",4.72095385061792,172,"EW:AA",2.94
"AA","FR",5.12793307086614,212,"FR:AA",2.94
"AA","ICA",4.23734251968504,288,"ICA:AA",2.94
"AA","ICC",4.74192913385827,236,"ICC:AA",2.94
"AA","IR",4.70406330787599,230,"IR:AA",2.94
"AA","MT",3.07483595800525,346,"MT:AA",2.94
"AA","O",4.92390419947507,202,"O:AA",2.94
"AA","OT",2.923156167979,360,"OT:AA",2.94
"AA","PT",4.6287532808399,220,"PT:AA",2.94
"AA","RU",4.60264979472024,210,"RU:AA",2.94
"AL","AA",3.29001312335958,299,"AA:AL",2.965
"AL","AL",3.75003937007874,262,"AL:AL",2.965
"AL","CL",3.31889763779528,312,"CL:AL",2.965
"AL","EW",4.13375275326765,206,"EW:AL",2.965
"AL","FR",3.29770341207349,291,"FR:AL",2.965
"AL","ICA",3.01217847769029,333,"ICA:AL",2.965
"AL","ICC",3.88755905511811,277,"ICC:AL",2.965
"AL","IR",3.57324413395694,279,"IR:AL",2.965
"AL","MT",2.60481627296588,363,"MT:AL",2.965
"AL","O",3.69917322834646,259,"O:AL",2.965
"AL","OT",2.07826115485564,378,"OT:AL",2.965
"AL","PT",3.61296587926509,273,"PT:AL",2.965
"AL","RU",3.71550407584442,255,"RU:AL",2.965
"CL","AA",4.22858267716535,257,"AA:CL",2.73
"CL","AL",4.18450131233596,224,"AL:CL",2.73
"CL","CL",4.69685039370079,256,"CL:CL",2.73
"CL","EW",4.46978989435366,188,"EW:CL",2.73
"CL","FR",4.32051181102362,239,"FR:CL",2.73
"CL","ICA",3.80682414698163,301,"ICA:CL",2.73
"CL","ICC",4.21994750656168,261,"ICC:CL",2.73
"CL","IR",4.50699583604681,236,"IR:CL",2.73
"CL","MT",2.66632545931759,345,"MT:CL",2.73
"CL","O",4.26458005249344,235,"O:CL",2.73
"CL","OT",2.41683727034121,367,"OT:CL",2.73
"CL","PT",4.23612860892388,238,"PT:CL",2.73
"CL","RU",4.17605135630087,222,"RU:CL",2.73
"EW","AA",6.18076771653543,190,"AA:EW",4.33485
"EW","AL",6.18799212598425,106,"AL:EW",4.33485
"EW","CL",6.81889763779528,173,"CL:EW",4.33485
"EW","EW",5.09728432187183,143,"EW:EW",4.33485
"EW","FR",5.93757874015748,182,"FR:EW",4.33485
"EW","ICA",6.21261811023622,232,"ICA:EW",4.33485
"EW","ICC",6.25157480314961,191,"ICC:EW",4.33485
"EW","IR",6.14903400232866,155,"IR:EW",4.33485
"EW","MT",5.22541994750656,303,"MT:EW",4.33485
"EW","O",5.83442257217848,143,"O:EW",4.33485
"EW","OT",4.56546587926509,328,"OT:EW",4.33485
"EW","PT",6.06346456692913,145,"PT:EW",4.33485
"EW","RU",5.99898847656637,120,"RU:EW",4.33485
"FR","AA",3.94587270341207,272,"AA:FR",2.92
"FR","AL",3.67929133858268,255,"AL:FR",2.92
"FR","CL",3.98556430446194,286,"CL:FR",2.92
"FR","EW",4.0996188290534,209,"EW:FR",2.92
"FR","FR",4.06158792650919,259,"FR:FR",2.92
"FR","ICA",3.30358923884514,320,"ICA:FR",2.92
"FR","ICC",4.27640419947507,267,"ICC:FR",2.92
"FR","IR",4.13983778343497,252,"IR:FR",2.92
"FR","MT",2.99477690288714,353,"MT:FR",2.92
