OT,FR,AA,IR,RU,O,ICA,PT,ICC,AL,CL,MT,EW,CD20
60,270,48.70743937,85.52915767,0,14.47084233,1.81430178,66.99913458,1.664700164,0.256587473,0.5,175,1100,1.81487
100,75,50,100,0,0,0,100,0,0.25,0.25,50,825,8.6742
60,4,5,44.62645268,10.06087438,5.312672939,0.176470588,40,0.388888889,0.4,0.1,50,980,4.62623
80,50,4,85.52915767,0,14.47084233,0.428571429,20,0.428571429,0.38,0.2,50,1100,3.97142
90,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,120,910.8087456,2.2074
80,40,3.645,51.42857143,0,15.97069593,0.283960741,40,0.324856585,0.514285714,0.5,175,1100,1.26414
80,3,1,38.48805,0,17.7521,0.142857143,40,0.333,0.288660375,0.2,50,1100,5.26099706
50,12.79225342,5,85.52915767,0,14.47084233,0.25,40,0.5,0.4,0.1,90,980,3.22561
80,5,5,75,0,17.5,0.13,4.8,0.25,1.58,0.025,50,1100,6.28665
40,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,125,1100,2.424
80,33,25,85.52915767,0,14.47084233,0.346040407,100,0.270084939,1.702030238,1.19,175,1100,2.36893
80,3,1,38.48805,0,17.7521,0.142857143,40,0.333,0.288660375,0.2,50,1099.293143,7.17667133
120,15,6.25,85.52915767,0,14.47084233,0,46.5,0.566669369,0.02736933,0.4,50,1100,0.46786
60,270,46.29038746,85.52915767,0,14.47084233,2.25415716,61.69268321,2.060287811,0.256587473,0.5,175,1100,1.35953
80,50,4,85.52915767,0,14.47084233,0.33,40,0.33,3.421166307,2,50,1100,5.20367
60,55.44484811,25,79.37854279,2.460646234,15.82845943,1.425,46.1,0.37,1.227587835,0.4,175,1100,1.33994
80,50,4,85.52915767,0,14.47084233,0.33,40,0.33,3.421166307,0.5,50,1100,4.1206
80,109.4797653,50,32.57142857,0,30.26987009,0.709577908,61.15418245,1.292839834,0.651428571,0.4,125,1100,3.7278
