"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"AA","AA",4.7284811827957,206,"AA:AA",3.37
"AA","AL",4.46875672043011,181,"AL:AA",3.37
"AA","CL",4.43760080645161,267,"CL:AA",3.37
"AA","EW",4.99955533996281,231,"EW:AA",3.37
"AA","FR",4.79172715053763,205,"FR:AA",3.37
"AA","ICA",3.84822580645161,296,"ICA:AA",3.37
"AA","ICC",4.52774193548387,260,"ICC:AA",3.37
"AA","IR",4.89568548387097,179,"IR:AA",3.37
"AA","MT",2.99698924731183,348,"MT:AA",3.37
"AA","O",4.64365591397849,236,"O:AA",3.37
"AA","OT",4.09975806451613,294,"OT:AA",3.37
"AA","PT",4.18747311827957,209,"PT:AA",3.37
"AA","RU",4.6575502571295,145,"RU:AA",3.37
"AL","AA",3.70672043010753,252,"AA:AL",3.1475
"AL","AL",3.87433467741935,231,"AL:AL",3.1475
"AL","CL",3.45302419354839,302,"CL:AL",3.1475
"AL","EW",3.63411216212574,278,"EW:AL",3.1475
"AL","FR",3.3622311827957,272,"FR:AL",3.1475
"AL","ICA",2.66204301075269,340,"ICA:AL",3.1475
"AL","ICC",2.93111559139785,322,"ICC:AL",3.1475
"AL","IR",3.5544623655914,248,"IR:AL",3.1475
"AL","MT",2.10916666666667,369,"MT:AL",3.1475
"AL","O",3.27118279569892,300,"O:AL",3.1475
"AL","OT",2.49430107526882,348,"OT:AL",3.1475
"AL","PT",3.35134408602151,257,"PT:AL",3.1475
"AL","RU",3.63779803646564,209,"RU:AL",3.1475
"CL","AA",4.38478494623656,220,"AA:CL",2.3475
"CL","AL",4.22583333333333,208,"AL:CL",2.3475
"CL","CL",4.48019489247312,261,"CL:CL",2.3475
"CL","EW",4.62858086075404,247,"EW:CL",2.3475
"CL","FR",4.36360215053763,220,"FR:CL",2.3475
"CL","ICA",3.45849462365591,308,"ICA:CL",2.3475
"CL","ICC",4.12343413978495,279,"ICC:CL",2.3475
"CL","IR",4.61354838709677,196,"IR:CL",2.3475
"CL","MT",2.6372311827957,357,"MT:CL",2.3475
"CL","O",4.6347311827957,244,"O:CL",2.3475
"CL","OT",3.35477150537634,317,"OT:CL",2.3475
"CL","PT",3.97854838709677,223,"PT:CL",2.3475
"CL","RU",4.30411407199626,164,"RU:CL",2.3475
"EW","AA",5.80915322580645,138,"AA:EW",3.08045625
"EW","AL",5.31475134408602,137,"AL:EW",3.08045625
"EW","CL",5.56547043010753,218,"CL:EW",3.08045625
"EW","EW",5.70823564287062,205,"EW:EW",3.08045625
"EW","FR",5.59246639784946,155,"FR:EW",3.08045625
"EW","ICA",5.13563172043011,245,"ICA:EW",3.08045625
"EW","ICC",5.51352150537634,224,"ICC:EW",3.08045625
"EW","IR",5.15962365591398,160,"IR:EW",3.08045625
"EW","MT",4.47225806451613,308,"MT:EW",3.08045625
"EW","O",5.40768817204301,193,"O:EW",3.08045625
"EW","OT",4.985,256,"OT:EW",3.08045625
"EW","PT",5.56440860215054,120,"PT:EW",3.08045625
"EW","RU",5.14749883122955,97,"RU:EW",3.08045625
"FR","AA",3.95715725806452,247,"AA:FR",2.9175
"FR","AL",4.11483198924731,205,"AL:FR",2.9175
"FR","CL",4.14614247311828,270,"CL:FR",2.9175
"FR","EW",4.25508664133452,262,"EW:FR",2.9175
"FR","FR",3.99487231182796,241,"FR:FR",2.9175
"FR","ICA",3.27844086021505,320,"ICA:FR",2.9175
"FR","ICC",3.76802419354839,294,"ICC:FR",2.9175
"FR","IR",4.19008064516129,218,"IR:FR",2.9175
"FR","MT",2.24451612903226,364,"MT:FR",2.9175
"FR","O",3.93360215053763,277,"O:FR",2.9175
"FR","OT",3.21040322580645,326,"OT:FR",2.9175
"FR","PT",3.74774193548387,230,"PT:FR",2.9175
"FR","RU",3.70979429640019,203,"RU:FR",2.9175
"ICA","AA",3.53605510752688,267,"AA:ICA",1.8475
"ICA","AL",3.83191532258065,223,"AL:ICA",1.8475
"ICA","CL",3.09063844086021,303,"CL:ICA",1.8475
"ICA","EW",3.69913358665481,275,"EW:ICA",1.8475
"ICA","FR",3.44409274193548,269,"FR:ICA",1.8475
"ICA","ICA",3.05893817204301,327,"ICA:ICA",1.8475
"ICA","ICC",3.29433467741935,309,"ICC:ICA",1.8475
"ICA","IR",3.40920698924731,257,"IR:ICA",1.8475
"ICA","MT",1.74018817204301,367,"MT:ICA",1.8475
"ICA","O",3.08403225806452,303,"O:ICA",1.8475
"ICA","OT",2.52845430107527,339,"OT:ICA",1.8475
"ICA","PT",3.21177419354839,261,"PT:ICA",1.8475
"ICA","RU",3.65930341280972,209,"RU:ICA",1.8475
"ICC","AA",3.79372983870968,253,"AA:ICC",2.4775
"ICC","AL",3.96389784946237,224,"AL:ICC",2.4775
"ICC","CL",3.56891801075269,287,"CL:ICC",2.4775
"ICC","EW",3.96862451828496,271,"EW:ICC",2.4775
"ICC","FR",3.39497983870968,273,"FR:ICC",2.4775
"ICC","ICA",2.77134408602151,336,"ICA:ICC",2.4775
"ICC","ICC",3.46541666666667,306,"ICC:ICC",2.4775
"ICC","IR",3.9833064516129,226,"IR:ICC",2.4775
"ICC","MT",1.51274193548387,370,"MT:ICC",2.4775
"ICC","O",3.49747311827957,283,"O:ICC",2.4775
"ICC","OT",2.62728494623656,342,"OT:ICC",2.4775
"ICC","PT",3.55483870967742,242,"PT:ICC",2.4775
"ICC","RU",3.68887330528284,209,"RU:ICC",2.4775
"IR","AA",4.97227822580645,197,"AA:IR",3.515
"IR","AL",4.61418010752688,182,"AL:IR",3.515
"IR","CL",4.89168682795699,251,"CL:IR",3.515
"IR","EW",5.03433314468968,232,"EW:IR",3.515
"IR","FR",4.71694892473118,206,"FR:IR",3.515
"IR","ICA",4.16004032258064,293,"ICA:IR",3.515
"IR","ICC",4.76385080645161,253,"ICC:IR",3.515
"IR","IR",5.09180107526882,162,"IR:IR",3.515
"IR","MT",3.22314516129032,349,"MT:IR",3.515
"IR","O",5.03747311827957,211,"O:IR",3.515
"IR","OT",4.21935483870968,292,"OT:IR",3.515
"IR","PT",4.3510752688172,202,"PT:IR",3.515
"IR","RU",4.68139317438055,146,"RU:IR",3.515
"MT","AA",4.92586693548387,199,"AA:MT",1.38
"MT","AL",4.97210349462366,163,"AL:MT",1.38
"MT","CL",4.58057795698925,242,"CL:MT",1.38
"MT","EW",4.80348721265529,230,"EW:MT",1.38
"MT","FR",5.00112903225806,188,"FR:MT",1.38
"MT","ICA",4.07663978494624,278,"ICA:MT",1.38
"MT","ICC",4.69203629032258,247,"ICC:MT",1.38
"MT","IR",4.9895564516129,171,"IR:MT",1.38
"MT","MT",4.4566935483871,325,"MT:MT",1.38
"MT","O",5.04758064516129,217,"O:MT",1.38
"MT","OT",4.25951612903226,280,"OT:MT",1.38
"MT","PT",4.52236559139785,188,"PT:MT",1.38
"MT","RU",4.62564282374942,144,"RU:MT",1.38
"O","AA",4.51002688172043,208,"AA:O",3.0425
"O","AL",4.7338373655914,177,"AL:O",3.0425
"O","CL",4.44379704301075,253,"CL:O",3.0425
"O","EW",4.88648368232409,232,"EW:O",3.0425
"O","FR",4.49604838709677,216,"FR:O",3.0425
"O","ICA",4.00145161290323,296,"ICA:O",3.0425
"O","ICC",4.37867607526882,259,"ICC:O",3.0425
"O","IR",4.76282258064516,174,"IR:O",3.0425
"O","MT",2.58639784946237,350,"MT:O",3.0425
"O","O",4.74645161290323,230,"O:O",3.0425
"O","OT",3.76716397849462,299,"OT:O",3.0425
"O","PT",4.45779569892473,187,"PT:O",3.0425
"O","RU",4.62844787283777,136,"RU:O",3.0425
"OT","AA",3.47592741935484,266,"AA:OT",2.045
"OT","AL",3.1757997311828,253,"AL:OT",2.045
"OT","CL",3.20963709677419,294,"CL:OT",2.045
"OT","EW",3.07462877624168,296,"EW:OT",2.045
"OT","FR",2.96561827956989,280,"FR:OT",2.045
"OT","ICA",2.31971774193548,333,"ICA:OT",2.045
"OT","ICC",2.93213709677419,314,"ICC:OT",2.045
"OT","IR",3.15435483870968,264,"IR:OT",2.045
"OT","MT",1.48118279569892,372,"MT:OT",2.045
"OT","O",2.84413978494624,309,"O:OT",2.045
"OT","OT",2.66629032258064,344,"OT:OT",2.045
"OT","PT",3.32145161290323,251,"PT:OT",2.045
"OT","RU",3.22662459093034,224,"RU:OT",2.045
"PT","AA",4.42581989247312,218,"AA:PT",3.3075
"PT","AL",4.61713037634409,183,"AL:PT",3.3075
"PT","CL",4.75500672043011,257,"CL:PT",3.3075
"PT","EW",4.87774543886598,236,"EW:PT",3.3075
"PT","FR",4.48358870967742,218,"FR:PT",3.3075
"PT","ICA",3.9154435483871,299,"ICA:PT",3.3075
"PT","ICC",4.21118279569892,276,"ICC:PT",3.3075
"PT","IR",4.41845430107527,201,"IR:PT",3.3075
"PT","MT",2.72991935483871,353,"MT:PT",3.3075
"PT","O",4.76440860215054,238,"O:PT",3.3075
"PT","OT",3.84923387096774,305,"OT:PT",3.3075
"PT","PT",4.78817204301075,182,"PT:PT",3.3075
"PT","RU",4.21318373071529,178,"RU:PT",3.3075
"RU","AA",6.21297715053763,125,"AA:RU",4.79410625
"RU","AL",5.7091935483871,124,"AL:RU",4.79410625
"RU","CL",6.42650537634409,204,"CL:RU",4.79410625
"RU","EW",6.85576845339154,159,"EW:RU",4.79410625
"RU","FR",5.84417338709677,153,"FR:RU",4.79410625
"RU","ICA",6.19293010752688,234,"ICA:RU",4.79410625
"RU","ICC",6.8957997311828,167,"ICC:RU",4.79410625
"RU","IR",6.24309139784946,90,"IR:RU",4.79410625
"RU","MT",5.46701612903226,293,"MT:RU",4.79410625
"RU","O",6.52096774193548,152,"O:RU",4.79410625
"RU","OT",6.37688172043011,212,"OT:RU",4.79410625
"RU","PT",5.45478494623656,131,"PT:RU",4.79410625
"RU","RU",5.41199158485273,71,"RU:RU",4.79410625
