"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"AA","AA",5.11981566820277,11,"AA:AA",5.20458333333333
"AA","AL",4.39882697947214,11,"AL:AA",5.20458333333333
"AA","CD",4.06520247083047,16,"CD:AA",5.20458333333333
"AA","CL",5.13412563667233,13,"CL:AA",5.20458333333333
"AA","EW",3.39270687237027,3,"EW:AA",5.20458333333333
"AA","FR",3.56412273800157,17,"FR:AA",5.20458333333333
"AA","ICA",3.58064516129032,7,"ICA:AA",5.20458333333333
"AA","ICC",4.53494623655914,17,"ICC:AA",5.20458333333333
"AA","IR",3.48561464690497,13,"IR:AA",5.20458333333333
"AA","MT",3.72,4,"MT:AA",5.20458333333333
"AA","O",4.79516129032258,10,"O:AA",5.20458333333333
"AA","OT",3.1505376344086,2,"OT:AA",5.20458333333333
"AA","PT",4.33154121863799,12,"PT:AA",5.20458333333333
"AA","RU",4.47311827956989,10,"RU:AA",5.20458333333333
"AA","ST",4.72089761570828,21,"ST:AA",5.20458333333333
"AL","AA",4.49124423963134,12,"AA:AL",3.5325
"AL","AL",3.20821114369501,17,"AL:AL",3.5325
"AL","CD",3.21139327385038,17,"CD:AL",3.5325
"AL","CL",4.82173174872665,15,"CL:AL",3.5325
"AL","EW",3.26788218793829,5,"EW:AL",3.5325
"AL","FR",3.3831628638867,14,"FR:AL",3.5325
"AL","ICA",2.83870967741935,12,"ICA:AL",3.5325
"AL","ICC",2.84811827956989,24,"ICC:AL",3.5325
"AL","IR",3.61464690496949,13,"IR:AL",3.5325
"AL","MT",3.5058064516129,8,"MT:AL",3.5325
"AL","O",4.29032258064516,11,"O:AL",3.5325
"AL","OT",3.04301075268817,6,"OT:AL",3.5325
"AL","PT",3.48924731182796,16,"PT:AL",3.5325
"AL","RU",4.2258064516129,13,"RU:AL",3.5325
"AL","ST",2.95932678821879,27,"ST:AL",3.5325
"CD","AA",3.89493087557604,13,"AA:CD",2.69041666666667
"CD","AL",2.83284457478006,19,"AL:CD",2.69041666666667
"CD","CD",4.62868908716541,15,"CD:CD",2.69041666666667
"CD","CL",4.27843803056027,16,"CL:CD",2.69041666666667
"CD","EW",3.04207573632539,5,"EW:CD",2.69041666666667
"CD","FR",3.17938630999213,19,"FR:CD",2.69041666666667
"CD","ICA",2.83870967741935,14,"ICA:CD",2.69041666666667
"CD","ICC",2.87768817204301,26,"ICC:CD",2.69041666666667
"CD","IR",3.5536181342633,14,"IR:CD",2.69041666666667
"CD","MT",3.70967741935484,6,"MT:CD",2.69041666666667
"CD","O",3.60483870967742,16,"O:CD",2.69041666666667
"CD","OT",3.08602150537634,5,"OT:CD",2.69041666666667
"CD","PT",3.71863799283154,12,"PT:CD",2.69041666666667
"CD","RU",4.25806451612903,13,"RU:CD",2.69041666666667
"CD","ST",2.02805049088359,29,"ST:CD",2.69041666666667
"CL","AA",4.74746543778802,8,"AA:CL",4.52916666666667
"CL","AL",4.17302052785924,11,"AL:CL",4.52916666666667
"CL","CD",4.97940974605353,11,"CD:CL",4.52916666666667
"CL","CL",5.38709677419355,12,"CL:CL",4.52916666666667
"CL","EW",3.24544179523142,2,"EW:CL",4.52916666666667
"CL","FR",4.28402832415421,12,"FR:CL",4.52916666666667
"CL","ICA",3.41935483870968,10,"ICA:CL",4.52916666666667
"CL","ICC",4.24327956989247,18,"ICC:CL",4.52916666666667
"CL","IR",3.88404533565824,7,"IR:CL",4.52916666666667
"CL","MT",3.97806451612903,4,"MT:CL",4.52916666666667
"CL","O",4.42096774193548,14,"O:CL",4.52916666666667
"CL","OT",3.2258064516129,1,"OT:CL",4.52916666666667
"CL","PT",4.75448028673835,8,"PT:CL",4.52916666666667
"CL","RU",4.50537634408602,10,"RU:CL",4.52916666666667
"CL","ST",4.335904628331,22,"ST:CL",4.52916666666667
"EW","AA",4.47373271889401,9,"AA:EW",7.59375
"EW","AL",4.84897360703812,8,"AL:EW",7.59375
"EW","CD",4.8805765271105,9,"CD:EW",7.59375
"EW","CL",6.8081494057725,6,"CL:EW",7.59375
"EW","EW",3.23562412342216,5,"EW:EW",7.59375
"EW","FR",5.22974036191975,7,"FR:EW",7.59375
"EW","ICA",3.61290322580645,5,"ICA:EW",7.59375
"EW","ICC",5.7997311827957,12,"ICC:EW",7.59375
"EW","IR",4.71578029642546,5,"IR:EW",7.59375
"EW","MT",3.74193548387097,6,"MT:EW",7.59375
"EW","O",5.14838709677419,7,"O:EW",7.59375
"EW","OT",3.03225806451613,4,"OT:EW",7.59375
"EW","PT",4.24372759856631,11,"PT:EW",7.59375
"EW","RU",4.91039426523298,9,"RU:EW",7.59375
"EW","ST",6.82678821879383,10,"ST:EW",7.59375
"FR","AA",4.29769585253456,12,"AA:FR",4.35375
"FR","AL",3.9692082111437,12,"AL:FR",4.35375
