iter	Passed	Remaining
0	6	322
1	7	182
2	8	135
3	9	110
4	10	94
5	11	84
6	12	76
7	13	71
8	14	65
9	15	61
10	16	57
11	17	54
12	17	50
13	18	48
14	19	45
15	20	43
16	21	41
17	22	39
18	23	38
19	24	36
20	25	34
21	25	33
22	26	31
23	27	30
24	28	28
25	29	27
26	30	25
27	31	24
28	32	23
29	32	21
30	33	20
31	34	19
32	35	18
33	37	17
34	39	16
35	40	15
36	41	14
37	42	13
38	43	12
39	44	11
40	45	9
41	46	8
42	47	7
43	48	6
44	49	5
45	50	4
46	51	3
47	52	2
48	53	1
49	54	0
