iter	Logloss
0	0.6926390325
1	0.6922339454
2	0.6917561113
3	0.6914308749
4	0.6910348192
5	0.6904846479
6	0.6899569337
7	0.6895565676
8	0.6890990465
9	0.6887665056
10	0.6883901701
11	0.688002815
12	0.6876068034
13	0.6871715523
14	0.6867249845
15	0.6862001893
16	0.6857078925
17	0.6853200516
18	0.6849927445
19	0.6845706367
20	0.6841258007
21	0.6837020214
22	0.683221141
23	0.6828278679
24	0.6822539592
25	0.68186717
26	0.6814756361
27	0.6809779422
28	0.6805298557
29	0.6802076297
30	0.6798143305
31	0.6793576193
32	0.6789315008
33	0.67855829
34	0.6782391014
35	0.6777810732
36	0.6774078297
37	0.6769561433
38	0.6764991896
39	0.6759408157
40	0.6755679683
41	0.6752013564
42	0.6748274769
43	0.67438309
44	0.6740123123
45	0.6735732964
46	0.6731891795
47	0.6727039406
48	0.6722661404
49	0.6718566442
